"gene_name","de_novo_junctions","strand","paste_into_igv_junction","delta075025","delta025021","delta021018","delta018012","delta012000","color_gene_name","name","value"
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,"none","no_dox",0.0191
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,"none","dox_0125",0.0627
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,"none","dox_0187",0.0859
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,"none","dox_021",0.1215
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,"none","dox_025",0.0393
"COPZ2",1,"-","chr17:48026475-48029137",0.0647,-0.0822,0.0356,0.0232,0.0436,"none","dox_075",0.104
"COPZ2",1,"-","chr17:48029176-48033863",0.1579,0.0459,-0.0738,-0.001,0.0608,"none","no_dox",0.0465
"COPZ2",1,"-","chr17:48029176-48033863",0.1579,0.0459,-0.0738,-0.001,0.0608,"none","dox_0125",0.1073
"COPZ2",1,"-","chr17:48029176-48033863",0.1579,0.0459,-0.0738,-0.001,0.0608,"none","dox_0187",0.1063
"COPZ2",1,"-","chr17:48029176-48033863",0.1579,0.0459,-0.0738,-0.001,0.0608,"none","dox_021",0.0325
"COPZ2",1,"-","chr17:48029176-48033863",0.1579,0.0459,-0.0738,-0.001,0.0608,"none","dox_025",0.0784
"COPZ2",1,"-","chr17:48029176-48033863",0.1579,0.0459,-0.0738,-0.001,0.0608,"none","dox_075",0.2363
"MSL3",0,"+","chrX:11758773-11759793",0.1213,-0.0514,0.0062,0.0043,0.0299,"none","no_dox",0.0176
"MSL3",0,"+","chrX:11758773-11759793",0.1213,-0.0514,0.0062,0.0043,0.0299,"none","dox_0125",0.0475
"MSL3",0,"+","chrX:11758773-11759793",0.1213,-0.0514,0.0062,0.0043,0.0299,"none","dox_0187",0.0518
"MSL3",0,"+","chrX:11758773-11759793",0.1213,-0.0514,0.0062,0.0043,0.0299,"none","dox_021",0.058
"MSL3",0,"+","chrX:11758773-11759793",0.1213,-0.0514,0.0062,0.0043,0.0299,"none","dox_025",0.0066
"MSL3",0,"+","chrX:11758773-11759793",0.1213,-0.0514,0.0062,0.0043,0.0299,"none","dox_075",0.1279
"IBTK",0,"-","chr6:82196401-82200141",0.114,-0.0418,-0.0045,0.00600000000000001,0.0185,"none","no_dox",0.0479
"IBTK",0,"-","chr6:82196401-82200141",0.114,-0.0418,-0.0045,0.00600000000000001,0.0185,"none","dox_0125",0.0664
"IBTK",0,"-","chr6:82196401-82200141",0.114,-0.0418,-0.0045,0.00600000000000001,0.0185,"none","dox_0187",0.0724
"IBTK",0,"-","chr6:82196401-82200141",0.114,-0.0418,-0.0045,0.00600000000000001,0.0185,"none","dox_021",0.0679
"IBTK",0,"-","chr6:82196401-82200141",0.114,-0.0418,-0.0045,0.00600000000000001,0.0185,"none","dox_025",0.0261
"IBTK",0,"-","chr6:82196401-82200141",0.114,-0.0418,-0.0045,0.00600000000000001,0.0185,"none","dox_075",0.1401
"RHBDD2",1,"+","chr7:75881490-75881829",0.0603,-0.0178,0.0469,-0.0243,0.0208,"none","no_dox",0.0426
"RHBDD2",1,"+","chr7:75881490-75881829",0.0603,-0.0178,0.0469,-0.0243,0.0208,"none","dox_0125",0.0634
"RHBDD2",1,"+","chr7:75881490-75881829",0.0603,-0.0178,0.0469,-0.0243,0.0208,"none","dox_0187",0.0391
"RHBDD2",1,"+","chr7:75881490-75881829",0.0603,-0.0178,0.0469,-0.0243,0.0208,"none","dox_021",0.086
"RHBDD2",1,"+","chr7:75881490-75881829",0.0603,-0.0178,0.0469,-0.0243,0.0208,"none","dox_025",0.0682
"RHBDD2",1,"+","chr7:75881490-75881829",0.0603,-0.0178,0.0469,-0.0243,0.0208,"none","dox_075",0.1285
"ZNF195",0,"-","chr11:3360788-3370975",0.0063,0.0899,-1e-04,0.0027,-0.0341,"none","no_dox",0.0361
"ZNF195",0,"-","chr11:3360788-3370975",0.0063,0.0899,-1e-04,0.0027,-0.0341,"none","dox_0125",0.002
"ZNF195",0,"-","chr11:3360788-3370975",0.0063,0.0899,-1e-04,0.0027,-0.0341,"none","dox_0187",0.0047
"ZNF195",0,"-","chr11:3360788-3370975",0.0063,0.0899,-1e-04,0.0027,-0.0341,"none","dox_021",0.0046
"ZNF195",0,"-","chr11:3360788-3370975",0.0063,0.0899,-1e-04,0.0027,-0.0341,"none","dox_025",0.0945
"ZNF195",0,"-","chr11:3360788-3370975",0.0063,0.0899,-1e-04,0.0027,-0.0341,"none","dox_075",0.1008
"ST7L",1,"-","chr1:112572446-112576986",0.073,-0.0625,0.0769,-0.0725,0.0915,"none","no_dox",0.002
"ST7L",1,"-","chr1:112572446-112576986",0.073,-0.0625,0.0769,-0.0725,0.0915,"none","dox_0125",0.0935
"ST7L",1,"-","chr1:112572446-112576986",0.073,-0.0625,0.0769,-0.0725,0.0915,"none","dox_0187",0.021
"ST7L",1,"-","chr1:112572446-112576986",0.073,-0.0625,0.0769,-0.0725,0.0915,"none","dox_021",0.0979
"ST7L",1,"-","chr1:112572446-112576986",0.073,-0.0625,0.0769,-0.0725,0.0915,"none","dox_025",0.0354
"ST7L",1,"-","chr1:112572446-112576986",0.073,-0.0625,0.0769,-0.0725,0.0915,"none","dox_075",0.1084
"COX10",0,"+","chr17:14077056-14159877",0.1164,-0.0427,0.0354,0.017,-0.0311,"none","no_dox",0.0478
"COX10",0,"+","chr17:14077056-14159877",0.1164,-0.0427,0.0354,0.017,-0.0311,"none","dox_0125",0.0167
"COX10",0,"+","chr17:14077056-14159877",0.1164,-0.0427,0.0354,0.017,-0.0311,"none","dox_0187",0.0337
"COX10",0,"+","chr17:14077056-14159877",0.1164,-0.0427,0.0354,0.017,-0.0311,"none","dox_021",0.0691
"COX10",0,"+","chr17:14077056-14159877",0.1164,-0.0427,0.0354,0.017,-0.0311,"none","dox_025",0.0264
"COX10",0,"+","chr17:14077056-14159877",0.1164,-0.0427,0.0354,0.017,-0.0311,"none","dox_075",0.1428
"NFIX",0,"+","chr19:13075671-13081680",0.0645,-0.0497,-0.0162,0.0275,0.0348,"none","no_dox",0.0406
"NFIX",0,"+","chr19:13075671-13081680",0.0645,-0.0497,-0.0162,0.0275,0.0348,"none","dox_0125",0.0754
"NFIX",0,"+","chr19:13075671-13081680",0.0645,-0.0497,-0.0162,0.0275,0.0348,"none","dox_0187",0.1029
"NFIX",0,"+","chr19:13075671-13081680",0.0645,-0.0497,-0.0162,0.0275,0.0348,"none","dox_021",0.0867
"NFIX",0,"+","chr19:13075671-13081680",0.0645,-0.0497,-0.0162,0.0275,0.0348,"none","dox_025",0.037
"NFIX",0,"+","chr19:13075671-13081680",0.0645,-0.0497,-0.0162,0.0275,0.0348,"none","dox_075",0.1015
"HEATR5B",1,"-","chr2:36990796-37000586",0.0266,-0.00739999999999999,0.0322,0.0113,0.0096,"none","no_dox",0.0455
"HEATR5B",1,"-","chr2:36990796-37000586",0.0266,-0.00739999999999999,0.0322,0.0113,0.0096,"none","dox_0125",0.0551
"HEATR5B",1,"-","chr2:36990796-37000586",0.0266,-0.00739999999999999,0.0322,0.0113,0.0096,"none","dox_0187",0.0664
"HEATR5B",1,"-","chr2:36990796-37000586",0.0266,-0.00739999999999999,0.0322,0.0113,0.0096,"none","dox_021",0.0986
"HEATR5B",1,"-","chr2:36990796-37000586",0.0266,-0.00739999999999999,0.0322,0.0113,0.0096,"none","dox_025",0.0912
"HEATR5B",1,"-","chr2:36990796-37000586",0.0266,-0.00739999999999999,0.0322,0.0113,0.0096,"none","dox_075",0.1178
"JARID2",1,"+","chr6:15374252-15452006",0.0626,-0.0616,-0.000700000000000006,-0.027,0.1297,"none","no_dox",0.0409
"JARID2",1,"+","chr6:15374252-15452006",0.0626,-0.0616,-0.000700000000000006,-0.027,0.1297,"none","dox_0125",0.1706
"JARID2",1,"+","chr6:15374252-15452006",0.0626,-0.0616,-0.000700000000000006,-0.027,0.1297,"none","dox_0187",0.1436
"JARID2",1,"+","chr6:15374252-15452006",0.0626,-0.0616,-0.000700000000000006,-0.027,0.1297,"none","dox_021",0.1429
"JARID2",1,"+","chr6:15374252-15452006",0.0626,-0.0616,-0.000700000000000006,-0.027,0.1297,"none","dox_025",0.0813
"JARID2",1,"+","chr6:15374252-15452006",0.0626,-0.0616,-0.000700000000000006,-0.027,0.1297,"none","dox_075",0.1439
"CDK11A",1,"-","chr1:1709640-1719358",-0.052,0.1181,-0.0051,0.0377,0.0183,"none","no_dox",0.002
"CDK11A",1,"-","chr1:1709640-1719358",-0.052,0.1181,-0.0051,0.0377,0.0183,"none","dox_0125",0.0203
"CDK11A",1,"-","chr1:1709640-1719358",-0.052,0.1181,-0.0051,0.0377,0.0183,"none","dox_0187",0.058
"CDK11A",1,"-","chr1:1709640-1719358",-0.052,0.1181,-0.0051,0.0377,0.0183,"none","dox_021",0.0529
"CDK11A",1,"-","chr1:1709640-1719358",-0.052,0.1181,-0.0051,0.0377,0.0183,"none","dox_025",0.171
"CDK11A",1,"-","chr1:1709640-1719358",-0.052,0.1181,-0.0051,0.0377,0.0183,"none","dox_075",0.119
"CELSR3",1,"-","chr3:48649718-48650267",0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,"none","no_dox",0.0478
"CELSR3",1,"-","chr3:48649718-48650267",0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,"none","dox_0125",0.0501
"CELSR3",1,"-","chr3:48649718-48650267",0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,"none","dox_0187",0.0961
"CELSR3",1,"-","chr3:48649718-48650267",0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,"none","dox_021",0.0894
"CELSR3",1,"-","chr3:48649718-48650267",0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,"none","dox_025",0.1249
"CELSR3",1,"-","chr3:48649718-48650267",0.00549999999999999,0.0355,-0.00670000000000001,0.046,0.0023,"none","dox_075",0.1304
"CELSR3",1,"-","chr3:48650290-48650479",0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,"none","no_dox",0.0136
"CELSR3",1,"-","chr3:48650290-48650479",0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,"none","dox_0125",0.021
"CELSR3",1,"-","chr3:48650290-48650479",0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,"none","dox_0187",0.0689
"CELSR3",1,"-","chr3:48650290-48650479",0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,"none","dox_021",0.0681
"CELSR3",1,"-","chr3:48650290-48650479",0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,"none","dox_025",0.112
"CELSR3",1,"-","chr3:48650290-48650479",0.00749999999999999,0.0439,-0.000800000000000009,0.0479,0.0074,"none","dox_075",0.1195
"CELSR3",1,"-","chr3:48649216-48649533",0.0232,0.0428,0.0045,0.0463,0.0088,"none","no_dox",0.0133
"CELSR3",1,"-","chr3:48649216-48649533",0.0232,0.0428,0.0045,0.0463,0.0088,"none","dox_0125",0.0221
"CELSR3",1,"-","chr3:48649216-48649533",0.0232,0.0428,0.0045,0.0463,0.0088,"none","dox_0187",0.0684
"CELSR3",1,"-","chr3:48649216-48649533",0.0232,0.0428,0.0045,0.0463,0.0088,"none","dox_021",0.0729
"CELSR3",1,"-","chr3:48649216-48649533",0.0232,0.0428,0.0045,0.0463,0.0088,"none","dox_025",0.1157
"CELSR3",1,"-","chr3:48649216-48649533",0.0232,0.0428,0.0045,0.0463,0.0088,"none","dox_075",0.1389
"RPS20",0,"-","chr8:56069833-56073117",0.1282,-0.0708,0.0533,-0.0128,0.0478,"none","no_dox",0.0305
"RPS20",0,"-","chr8:56069833-56073117",0.1282,-0.0708,0.0533,-0.0128,0.0478,"none","dox_0125",0.0783
"RPS20",0,"-","chr8:56069833-56073117",0.1282,-0.0708,0.0533,-0.0128,0.0478,"none","dox_0187",0.0655
"RPS20",0,"-","chr8:56069833-56073117",0.1282,-0.0708,0.0533,-0.0128,0.0478,"none","dox_021",0.1188
"RPS20",0,"-","chr8:56069833-56073117",0.1282,-0.0708,0.0533,-0.0128,0.0478,"none","dox_025",0.048
"RPS20",0,"-","chr8:56069833-56073117",0.1282,-0.0708,0.0533,-0.0128,0.0478,"none","dox_075",0.1762
"WIZ",0,"-","chr19:15437129-15442676",0.2426,0.042,-0.0082,0.0031,0.0216,"late","no_dox",0.0046
"WIZ",0,"-","chr19:15437129-15442676",0.2426,0.042,-0.0082,0.0031,0.0216,"late","dox_0125",0.0262
"WIZ",0,"-","chr19:15437129-15442676",0.2426,0.042,-0.0082,0.0031,0.0216,"late","dox_0187",0.0293
"WIZ",0,"-","chr19:15437129-15442676",0.2426,0.042,-0.0082,0.0031,0.0216,"late","dox_021",0.0211
"WIZ",0,"-","chr19:15437129-15442676",0.2426,0.042,-0.0082,0.0031,0.0216,"late","dox_025",0.0631
"WIZ",0,"-","chr19:15437129-15442676",0.2426,0.042,-0.0082,0.0031,0.0216,"late","dox_075",0.3057
"SYT7",1,"-","chr11:61547620-61551384",0.0035,0.1295,0.146,0.0391,0.0173,"none","no_dox",0.0023
"SYT7",1,"-","chr11:61547620-61551384",0.0035,0.1295,0.146,0.0391,0.0173,"none","dox_0125",0.0196
"SYT7",1,"-","chr11:61547620-61551384",0.0035,0.1295,0.146,0.0391,0.0173,"none","dox_0187",0.0587
"SYT7",1,"-","chr11:61547620-61551384",0.0035,0.1295,0.146,0.0391,0.0173,"none","dox_021",0.2047
"SYT7",1,"-","chr11:61547620-61551384",0.0035,0.1295,0.146,0.0391,0.0173,"none","dox_025",0.3342
"SYT7",1,"-","chr11:61547620-61551384",0.0035,0.1295,0.146,0.0391,0.0173,"none","dox_075",0.3377
"SYT7",1,"-","chr11:61533124-61547530",0.2445,0.0168,0.0396,0.0144,-3e-04,"late","no_dox",0.0015
"SYT7",1,"-","chr11:61533124-61547530",0.2445,0.0168,0.0396,0.0144,-3e-04,"late","dox_0125",0.0012
"SYT7",1,"-","chr11:61533124-61547530",0.2445,0.0168,0.0396,0.0144,-3e-04,"late","dox_0187",0.0156
"SYT7",1,"-","chr11:61533124-61547530",0.2445,0.0168,0.0396,0.0144,-3e-04,"late","dox_021",0.0552
"SYT7",1,"-","chr11:61533124-61547530",0.2445,0.0168,0.0396,0.0144,-3e-04,"late","dox_025",0.072
"SYT7",1,"-","chr11:61533124-61547530",0.2445,0.0168,0.0396,0.0144,-3e-04,"late","dox_075",0.3165
"ERCC1",0,"-","chr19:45423381-45449173",0.0675,0.0036,-0.0092,0.0182,-0.0067,"none","no_dox",0.0371
"ERCC1",0,"-","chr19:45423381-45449173",0.0675,0.0036,-0.0092,0.0182,-0.0067,"none","dox_0125",0.0304
"ERCC1",0,"-","chr19:45423381-45449173",0.0675,0.0036,-0.0092,0.0182,-0.0067,"none","dox_0187",0.0486
"ERCC1",0,"-","chr19:45423381-45449173",0.0675,0.0036,-0.0092,0.0182,-0.0067,"none","dox_021",0.0394
"ERCC1",0,"-","chr19:45423381-45449173",0.0675,0.0036,-0.0092,0.0182,-0.0067,"none","dox_025",0.043
"ERCC1",0,"-","chr19:45423381-45449173",0.0675,0.0036,-0.0092,0.0182,-0.0067,"none","dox_075",0.1105
"EXTL3",1,"+","chr8:28701659-28715585",-0.0048,0.0502,-0.0039,-0.013,0.0673,"none","no_dox",0.0287
"EXTL3",1,"+","chr8:28701659-28715585",-0.0048,0.0502,-0.0039,-0.013,0.0673,"none","dox_0125",0.096
"EXTL3",1,"+","chr8:28701659-28715585",-0.0048,0.0502,-0.0039,-0.013,0.0673,"none","dox_0187",0.083
"EXTL3",1,"+","chr8:28701659-28715585",-0.0048,0.0502,-0.0039,-0.013,0.0673,"none","dox_021",0.0791
"EXTL3",1,"+","chr8:28701659-28715585",-0.0048,0.0502,-0.0039,-0.013,0.0673,"none","dox_025",0.1293
"EXTL3",1,"+","chr8:28701659-28715585",-0.0048,0.0502,-0.0039,-0.013,0.0673,"none","dox_075",0.1245
"EXTL3",0,"+","chr8:28637429-28713457",0.091,-0.0309,-0.0321,0.0543,-0.0055,"none","no_dox",0.0291
"EXTL3",0,"+","chr8:28637429-28713457",0.091,-0.0309,-0.0321,0.0543,-0.0055,"none","dox_0125",0.0236
"EXTL3",0,"+","chr8:28637429-28713457",0.091,-0.0309,-0.0321,0.0543,-0.0055,"none","dox_0187",0.0779
"EXTL3",0,"+","chr8:28637429-28713457",0.091,-0.0309,-0.0321,0.0543,-0.0055,"none","dox_021",0.0458
"EXTL3",0,"+","chr8:28637429-28713457",0.091,-0.0309,-0.0321,0.0543,-0.0055,"none","dox_025",0.0149
"EXTL3",0,"+","chr8:28637429-28713457",0.091,-0.0309,-0.0321,0.0543,-0.0055,"none","dox_075",0.1059
"PGM3",0,"-","chr6:83166466-83169242",0.0482,-0.014,0.00870000000000001,-0.0113,0.0273,"none","no_dox",0.0442
"PGM3",0,"-","chr6:83166466-83169242",0.0482,-0.014,0.00870000000000001,-0.0113,0.0273,"none","dox_0125",0.0715
"PGM3",0,"-","chr6:83166466-83169242",0.0482,-0.014,0.00870000000000001,-0.0113,0.0273,"none","dox_0187",0.0602
"PGM3",0,"-","chr6:83166466-83169242",0.0482,-0.014,0.00870000000000001,-0.0113,0.0273,"none","dox_021",0.0689
"PGM3",0,"-","chr6:83166466-83169242",0.0482,-0.014,0.00870000000000001,-0.0113,0.0273,"none","dox_025",0.0549
"PGM3",0,"-","chr6:83166466-83169242",0.0482,-0.014,0.00870000000000001,-0.0113,0.0273,"none","dox_075",0.1031
"RNF14",0,"+","chr5:141969167-141973583",-0.0315,-0.0161,0.0712,-0.0428,0.1104,"none","no_dox",0.0334
"RNF14",0,"+","chr5:141969167-141973583",-0.0315,-0.0161,0.0712,-0.0428,0.1104,"none","dox_0125",0.1438
"RNF14",0,"+","chr5:141969167-141973583",-0.0315,-0.0161,0.0712,-0.0428,0.1104,"none","dox_0187",0.101
"RNF14",0,"+","chr5:141969167-141973583",-0.0315,-0.0161,0.0712,-0.0428,0.1104,"none","dox_021",0.1722
"RNF14",0,"+","chr5:141969167-141973583",-0.0315,-0.0161,0.0712,-0.0428,0.1104,"none","dox_025",0.1561
"RNF14",0,"+","chr5:141969167-141973583",-0.0315,-0.0161,0.0712,-0.0428,0.1104,"none","dox_075",0.1246
"DDX11",1,"+","chr12:31102301-31102427",0.0992,-0.0163,0.0428,0.0037,0.0012,"none","no_dox",0.0145
"DDX11",1,"+","chr12:31102301-31102427",0.0992,-0.0163,0.0428,0.0037,0.0012,"none","dox_0125",0.0157
"DDX11",1,"+","chr12:31102301-31102427",0.0992,-0.0163,0.0428,0.0037,0.0012,"none","dox_0187",0.0194
"DDX11",1,"+","chr12:31102301-31102427",0.0992,-0.0163,0.0428,0.0037,0.0012,"none","dox_021",0.0622
"DDX11",1,"+","chr12:31102301-31102427",0.0992,-0.0163,0.0428,0.0037,0.0012,"none","dox_025",0.0459
"DDX11",1,"+","chr12:31102301-31102427",0.0992,-0.0163,0.0428,0.0037,0.0012,"none","dox_075",0.1451
"YAF2",0,"-","chr12:42161765-42199136",0.0492,0.0653,-0.0483,-0.0289,0.0467,"none","no_dox",0.0375
"YAF2",0,"-","chr12:42161765-42199136",0.0492,0.0653,-0.0483,-0.0289,0.0467,"none","dox_0125",0.0842
"YAF2",0,"-","chr12:42161765-42199136",0.0492,0.0653,-0.0483,-0.0289,0.0467,"none","dox_0187",0.0553
"YAF2",0,"-","chr12:42161765-42199136",0.0492,0.0653,-0.0483,-0.0289,0.0467,"none","dox_021",0.007
"YAF2",0,"-","chr12:42161765-42199136",0.0492,0.0653,-0.0483,-0.0289,0.0467,"none","dox_025",0.0723
"YAF2",0,"-","chr12:42161765-42199136",0.0492,0.0653,-0.0483,-0.0289,0.0467,"none","dox_075",0.1215
"CNTN1",1,"+","chr12:40692592-40763096",0.974,-0.0017,-0.021,0.0336,-0.0171,"late","no_dox",0.0223
"CNTN1",1,"+","chr12:40692592-40763096",0.974,-0.0017,-0.021,0.0336,-0.0171,"late","dox_0125",0.0052
"CNTN1",1,"+","chr12:40692592-40763096",0.974,-0.0017,-0.021,0.0336,-0.0171,"late","dox_0187",0.0388
"CNTN1",1,"+","chr12:40692592-40763096",0.974,-0.0017,-0.021,0.0336,-0.0171,"late","dox_021",0.0178
"CNTN1",1,"+","chr12:40692592-40763096",0.974,-0.0017,-0.021,0.0336,-0.0171,"late","dox_025",0.0161
"CNTN1",1,"+","chr12:40692592-40763096",0.974,-0.0017,-0.021,0.0336,-0.0171,"late","dox_075",0.9901
"PHLDB1",0,"+","chr11:118624845-118624934",0.0789,0.0181,-0.015,-0.0799,0.0705,"none","no_dox",0.0384
"PHLDB1",0,"+","chr11:118624845-118624934",0.0789,0.0181,-0.015,-0.0799,0.0705,"none","dox_0125",0.1089
"PHLDB1",0,"+","chr11:118624845-118624934",0.0789,0.0181,-0.015,-0.0799,0.0705,"none","dox_0187",0.029
"PHLDB1",0,"+","chr11:118624845-118624934",0.0789,0.0181,-0.015,-0.0799,0.0705,"none","dox_021",0.014
"PHLDB1",0,"+","chr11:118624845-118624934",0.0789,0.0181,-0.015,-0.0799,0.0705,"none","dox_025",0.0321
"PHLDB1",0,"+","chr11:118624845-118624934",0.0789,0.0181,-0.015,-0.0799,0.0705,"none","dox_075",0.111
"ATP2C1",0,"+","chr3:130850928-130930416",0.9521,-0.0024,0.0095,-0.0147,0.0032,"late","no_dox",0.0354
"ATP2C1",0,"+","chr3:130850928-130930416",0.9521,-0.0024,0.0095,-0.0147,0.0032,"late","dox_0125",0.0386
"ATP2C1",0,"+","chr3:130850928-130930416",0.9521,-0.0024,0.0095,-0.0147,0.0032,"late","dox_0187",0.0239
"ATP2C1",0,"+","chr3:130850928-130930416",0.9521,-0.0024,0.0095,-0.0147,0.0032,"late","dox_021",0.0334
"ATP2C1",0,"+","chr3:130850928-130930416",0.9521,-0.0024,0.0095,-0.0147,0.0032,"late","dox_025",0.031
"ATP2C1",0,"+","chr3:130850928-130930416",0.9521,-0.0024,0.0095,-0.0147,0.0032,"late","dox_075",0.9831
"SAMD4A",0,"+","chr14:54776540-54784340",0.0158,0.0286,0.0648,-0.0389,0.0361,"none","no_dox",0.0337
"SAMD4A",0,"+","chr14:54776540-54784340",0.0158,0.0286,0.0648,-0.0389,0.0361,"none","dox_0125",0.0698
"SAMD4A",0,"+","chr14:54776540-54784340",0.0158,0.0286,0.0648,-0.0389,0.0361,"none","dox_0187",0.0309
"SAMD4A",0,"+","chr14:54776540-54784340",0.0158,0.0286,0.0648,-0.0389,0.0361,"none","dox_021",0.0957
"SAMD4A",0,"+","chr14:54776540-54784340",0.0158,0.0286,0.0648,-0.0389,0.0361,"none","dox_025",0.1243
"SAMD4A",0,"+","chr14:54776540-54784340",0.0158,0.0286,0.0648,-0.0389,0.0361,"none","dox_075",0.1401
"SAMD4A",0,"+","chr14:54784447-54784537",0.0964,-0.0185,0.0128,-0.0143,0.0279,"none","no_dox",0.0488
"SAMD4A",0,"+","chr14:54784447-54784537",0.0964,-0.0185,0.0128,-0.0143,0.0279,"none","dox_0125",0.0767
"SAMD4A",0,"+","chr14:54784447-54784537",0.0964,-0.0185,0.0128,-0.0143,0.0279,"none","dox_0187",0.0624
"SAMD4A",0,"+","chr14:54784447-54784537",0.0964,-0.0185,0.0128,-0.0143,0.0279,"none","dox_021",0.0752
"SAMD4A",0,"+","chr14:54784447-54784537",0.0964,-0.0185,0.0128,-0.0143,0.0279,"none","dox_025",0.0567
"SAMD4A",0,"+","chr14:54784447-54784537",0.0964,-0.0185,0.0128,-0.0143,0.0279,"none","dox_075",0.1531
"NR1H3",1,"+","chr11:47262018-47266200",0.1058,-0.0198,0.0201,-0.0014,-2e-04,"none","no_dox",0.0046
"NR1H3",1,"+","chr11:47262018-47266200",0.1058,-0.0198,0.0201,-0.0014,-2e-04,"none","dox_0125",0.0044
"NR1H3",1,"+","chr11:47262018-47266200",0.1058,-0.0198,0.0201,-0.0014,-2e-04,"none","dox_0187",0.003
"NR1H3",1,"+","chr11:47262018-47266200",0.1058,-0.0198,0.0201,-0.0014,-2e-04,"none","dox_021",0.0231
"NR1H3",1,"+","chr11:47262018-47266200",0.1058,-0.0198,0.0201,-0.0014,-2e-04,"none","dox_025",0.0033
"NR1H3",1,"+","chr11:47262018-47266200",0.1058,-0.0198,0.0201,-0.0014,-2e-04,"none","dox_075",0.1091
"ASTE1",0,"-","chr3:131017049-131018506",0.0999,0.0225,-0.0069,-0.034,0.0176,"none","no_dox",0.0294
"ASTE1",0,"-","chr3:131017049-131018506",0.0999,0.0225,-0.0069,-0.034,0.0176,"none","dox_0125",0.047
"ASTE1",0,"-","chr3:131017049-131018506",0.0999,0.0225,-0.0069,-0.034,0.0176,"none","dox_0187",0.013
"ASTE1",0,"-","chr3:131017049-131018506",0.0999,0.0225,-0.0069,-0.034,0.0176,"none","dox_021",0.0061
"ASTE1",0,"-","chr3:131017049-131018506",0.0999,0.0225,-0.0069,-0.034,0.0176,"none","dox_025",0.0286
"ASTE1",0,"-","chr3:131017049-131018506",0.0999,0.0225,-0.0069,-0.034,0.0176,"none","dox_075",0.1285
