Sample 1
3/25/2021 5:42 PM
Wavelength (nm)	10mm Absorbance
277.0	3.871
277.5	3.764
278.0	3.653
278.5	3.543
279.0	3.432
279.5	3.323
280.0	3.219
280.5	3.118
281.0	3.017
281.5	2.913
282.0	2.808
282.5	2.706
283.0	2.606
283.5	2.507
284.0	2.414
284.5	2.326
285.0	2.242
285.5	2.161
286.0	2.080
286.5	1.996
287.0	1.909
287.5	1.820
288.0	1.735
288.5	1.655
289.0	1.579
289.5	1.505
290.0	1.430
290.5	1.352
291.0	1.272
291.5	1.191
292.0	1.113
292.5	1.041
293.0	0.973
293.5	0.905
294.0	0.835
294.5	0.768
295.0	0.705
295.5	0.648
296.0	0.597
296.5	0.551
297.0	0.511
297.5	0.474
298.0	0.441
298.5	0.407
299.0	0.374
299.5	0.344
300.0	0.314
300.5	0.289
301.0	0.264
301.5	0.240
302.0	0.217
302.5	0.195
303.0	0.174
303.5	0.156
304.0	0.139
304.5	0.125
305.0	0.111
305.5	0.099
306.0	0.089
306.5	0.080
307.0	0.073
307.5	0.067
308.0	0.061
308.5	0.056
309.0	0.050
309.5	0.046
310.0	0.043
310.5	0.040
311.0	0.038
311.5	0.035
312.0	0.032
312.5	0.030
313.0	0.028
313.5	0.027
314.0	0.026
314.5	0.023
315.0	0.020
315.5	0.017
316.0	0.015
316.5	0.013
317.0	0.011
317.5	0.009
318.0	0.007
318.5	0.005
319.0	0.005
319.5	0.005
320.0	0.005
320.5	0.003
321.0	0.002
321.5	-0.001
322.0	-0.002
322.5	-0.001
323.0	0.002
323.5	0.003
324.0	0.004
324.5	0.004
325.0	0.005
325.5	0.005
326.0	0.006
326.5	0.005
327.0	0.006
327.5	0.006
328.0	0.007
328.5	0.006
329.0	0.007
329.5	0.008
330.0	0.010
330.5	0.008
331.0	0.007
331.5	0.007
332.0	0.007
332.5	0.006
333.0	0.005
333.5	0.003
334.0	0.003
334.5	0.003
335.0	0.004
335.5	0.005
336.0	0.006
336.5	0.004
337.0	0.003
337.5	0.002
338.0	0.002
338.5	0.000
339.0	-0.001
339.5	0.000
340.0	0.000
340.5	0.000
341.0	0.002
341.5	0.003
342.0	0.003
342.5	0.002
343.0	0.002
343.5	0.001
344.0	0.002
344.5	0.004
345.0	0.003
345.5	0.003
346.0	0.005
346.5	0.008
347.0	0.008
347.5	0.007
348.0	0.009
348.5	0.009
349.0	0.009
349.5	0.009
350.0	0.010


Sample 2
3/25/2021 5:43 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	13.749
220.5	13.436
221.0	13.126
221.5	12.785
222.0	12.417
222.5	12.048
223.0	11.659
223.5	11.247
224.0	10.799
224.5	10.333
225.0	9.889
225.5	9.539
226.0	9.276
226.5	9.068
227.0	8.892
227.5	8.730
228.0	8.584
228.5	8.453
229.0	8.329
229.5	8.206
230.0	8.078
230.5	7.945
231.0	7.808
231.5	7.667
232.0	7.510
232.5	7.328
233.0	7.122
233.5	6.906
234.0	6.701
234.5	6.504
235.0	6.321
235.5	6.154
236.0	6.007
236.5	5.885
237.0	5.778
237.5	5.687
238.0	5.608
238.5	5.546
239.0	5.499
239.5	5.470
240.0	5.455
240.5	5.451
241.0	5.454
241.5	5.466
242.0	5.484
242.5	5.515
243.0	5.559
243.5	5.621
244.0	5.690
244.5	5.754
245.0	5.810
245.5	5.863
246.0	5.917
246.5	5.971
247.0	6.027
247.5	6.083
248.0	6.137
248.5	6.190
249.0	6.242
249.5	6.292
250.0	6.338
250.5	6.390
251.0	6.446
251.5	6.509
252.0	6.577
252.5	6.647
253.0	6.712
253.5	6.772
254.0	6.829
254.5	6.877
255.0	6.918
255.5	6.954
256.0	6.987
256.5	7.018
257.0	7.043
257.5	7.059
258.0	7.064
258.5	7.066
259.0	7.060
259.5	7.046
260.0	7.033
260.5	7.017
261.0	6.997
261.5	6.973
262.0	6.946
262.5	6.910
263.0	6.863
263.5	6.806
264.0	6.733
264.5	6.644
265.0	6.539
265.5	6.433
266.0	6.329
266.5	6.233
267.0	6.141
267.5	6.046
268.0	5.940
268.5	5.831
269.0	5.727
269.5	5.631
270.0	5.542
270.5	5.451
271.0	5.358
271.5	5.268
272.0	5.176
272.5	5.082
273.0	4.987
273.5	4.893
274.0	4.798
274.5	4.707
275.0	4.614
275.5	4.516
276.0	4.409
276.5	4.297
277.0	4.183
277.5	4.066
278.0	3.946
278.5	3.828
279.0	3.709
279.5	3.591
280.0	3.481
280.5	3.374
281.0	3.266
281.5	3.154
282.0	3.041
282.5	2.930
283.0	2.823
283.5	2.716
284.0	2.614
284.5	2.521
285.0	2.432
285.5	2.345
286.0	2.257
286.5	2.167
287.0	2.071
287.5	1.975
288.0	1.882
288.5	1.797
289.0	1.715
289.5	1.634
290.0	1.554
290.5	1.470
291.0	1.384
291.5	1.296
292.0	1.214
292.5	1.135
293.0	1.059
293.5	0.987
294.0	0.912
294.5	0.841
295.0	0.773
295.5	0.713
296.0	0.657
296.5	0.607
297.0	0.564
297.5	0.524
298.0	0.487
298.5	0.450
299.0	0.415
299.5	0.382
300.0	0.350
300.5	0.324
301.0	0.297
301.5	0.269
302.0	0.243
302.5	0.219
303.0	0.196
303.5	0.177
304.0	0.160
304.5	0.144
305.0	0.129
305.5	0.115
306.0	0.103
306.5	0.092
307.0	0.084
307.5	0.077
308.0	0.070
308.5	0.063
309.0	0.058
309.5	0.054
310.0	0.051
310.5	0.047
311.0	0.044
311.5	0.040
312.0	0.036
312.5	0.034
313.0	0.033
313.5	0.032
314.0	0.032
314.5	0.028
315.0	0.026
315.5	0.022
316.0	0.022
316.5	0.020
317.0	0.015
317.5	0.014
318.0	0.011
318.5	0.010
319.0	0.008
319.5	0.007
320.0	0.008
320.5	0.005
321.0	0.005
321.5	0.003
322.0	0.003
322.5	0.004
323.0	0.007
323.5	0.007
324.0	0.006
324.5	0.006
325.0	0.005
325.5	0.007
326.0	0.006
326.5	0.007
327.0	0.008
327.5	0.008
328.0	0.007
328.5	0.006
329.0	0.006
329.5	0.007
330.0	0.007
330.5	0.006
331.0	0.004
331.5	0.005
332.0	0.005
332.5	0.004
333.0	0.003
333.5	0.002
334.0	0.002
334.5	0.003
335.0	0.003
335.5	0.003
336.0	0.004
336.5	0.002
337.0	0.001
337.5	0.000
338.0	-0.001
338.5	-0.002
339.0	-0.001
339.5	-0.001
340.0	0.000
340.5	-0.001
341.0	0.000
341.5	0.001
342.0	0.001
342.5	0.000
343.0	0.001
343.5	0.001
344.0	0.003
344.5	0.004
345.0	0.004
345.5	0.004
346.0	0.004
346.5	0.005
347.0	0.004
347.5	0.003
348.0	0.005
348.5	0.006
349.0	0.006
349.5	0.006
350.0	0.008


Sample 3
3/25/2021 5:44 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	6.056
220.5	5.897
221.0	5.738
221.5	5.581
222.0	5.420
222.5	5.253
223.0	5.091
223.5	4.923
224.0	4.750
224.5	4.574
225.0	4.416
225.5	4.289
226.0	4.191
226.5	4.117
227.0	4.055
227.5	3.999
228.0	3.949
228.5	3.905
229.0	3.865
229.5	3.827
230.0	3.790
230.5	3.752
231.0	3.716
231.5	3.679
232.0	3.638
232.5	3.588
233.0	3.533
233.5	3.476
234.0	3.424
234.5	3.375
235.0	3.335
235.5	3.304
236.0	3.281
236.5	3.271
237.0	3.266
237.5	3.270
238.0	3.284
238.5	3.311
239.0	3.347
239.5	3.387
240.0	3.428
240.5	3.466
241.0	3.501
241.5	3.538
242.0	3.579
242.5	3.625
243.0	3.683
243.5	3.756
244.0	3.829
244.5	3.893
245.0	3.950
245.5	4.004
246.0	4.054
246.5	4.105
247.0	4.156
247.5	4.204
248.0	4.250
248.5	4.296
249.0	4.339
249.5	4.378
250.0	4.415
250.5	4.456
251.0	4.498
251.5	4.545
252.0	4.597
252.5	4.649
253.0	4.698
253.5	4.745
254.0	4.790
254.5	4.829
255.0	4.862
255.5	4.892
256.0	4.914
256.5	4.939
257.0	4.961
257.5	4.975
258.0	4.981
258.5	4.982
259.0	4.979
259.5	4.972
260.0	4.961
260.5	4.950
261.0	4.937
261.5	4.919
262.0	4.898
262.5	4.873
263.0	4.841
263.5	4.804
264.0	4.755
264.5	4.691
265.0	4.620
265.5	4.547
266.0	4.476
266.5	4.410
267.0	4.348
267.5	4.280
268.0	4.203
268.5	4.125
269.0	4.053
269.5	3.985
270.0	3.921
270.5	3.857
271.0	3.791
271.5	3.727
272.0	3.662
272.5	3.596
273.0	3.529
273.5	3.463
274.0	3.396
274.5	3.329
275.0	3.264
275.5	3.197
276.0	3.121
276.5	3.041
277.0	2.963
277.5	2.879
278.0	2.796
278.5	2.711
279.0	2.627
279.5	2.543
280.0	2.464
280.5	2.387
281.0	2.309
281.5	2.230
282.0	2.149
282.5	2.072
283.0	1.995
283.5	1.919
284.0	1.846
284.5	1.780
285.0	1.716
285.5	1.653
286.0	1.591
286.5	1.526
287.0	1.460
287.5	1.392
288.0	1.327
288.5	1.267
289.0	1.209
289.5	1.152
290.0	1.095
290.5	1.036
291.0	0.977
291.5	0.915
292.0	0.858
292.5	0.804
293.0	0.750
293.5	0.698
294.0	0.646
294.5	0.595
295.0	0.546
295.5	0.502
296.0	0.462
296.5	0.426
297.0	0.396
297.5	0.368
298.0	0.343
298.5	0.316
299.0	0.291
299.5	0.267
300.0	0.245
300.5	0.225
301.0	0.206
301.5	0.188
302.0	0.170
302.5	0.154
303.0	0.139
303.5	0.125
304.0	0.113
304.5	0.101
305.0	0.090
305.5	0.080
306.0	0.072
306.5	0.065
307.0	0.060
307.5	0.055
308.0	0.052
308.5	0.049
309.0	0.045
309.5	0.043
310.0	0.042
310.5	0.038
311.0	0.036
311.5	0.035
312.0	0.032
312.5	0.031
313.0	0.031
313.5	0.030
314.0	0.030
314.5	0.026
315.0	0.024
315.5	0.021
316.0	0.018
316.5	0.015
317.0	0.011
317.5	0.008
318.0	0.007
318.5	0.007
319.0	0.006
319.5	0.005
320.0	0.005
320.5	0.003
321.0	0.003
321.5	0.001
322.0	0.001
322.5	0.002
323.0	0.003
323.5	0.005
324.0	0.005
324.5	0.005
325.0	0.004
325.5	0.006
326.0	0.005
326.5	0.004
327.0	0.005
327.5	0.005
328.0	0.004
328.5	0.003
329.0	0.003
329.5	0.003
330.0	0.005
330.5	0.005
331.0	0.002
331.5	0.002
332.0	0.003
332.5	0.003
333.0	0.003
333.5	0.002
334.0	0.003
334.5	0.003
335.0	0.003
335.5	0.003
336.0	0.004
336.5	0.004
337.0	0.004
337.5	0.002
338.0	0.002
338.5	0.000
339.0	0.000
339.5	0.000
340.0	0.000
340.5	-0.002
341.0	-0.001
341.5	-0.001
342.0	-0.001
342.5	-0.002
343.0	-0.001
343.5	-0.001
344.0	0.000
344.5	-0.001
345.0	0.000
345.5	0.001
346.0	0.002
346.5	0.004
347.0	0.004
347.5	0.004
348.0	0.006
348.5	0.009
349.0	0.007
349.5	0.007
350.0	0.009


Sample 4
3/25/2021 5:44 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	7.004
220.5	6.826
221.0	6.647
221.5	6.465
222.0	6.280
222.5	6.087
223.0	5.896
223.5	5.698
224.0	5.487
224.5	5.271
225.0	5.073
225.5	4.915
226.0	4.798
226.5	4.706
227.0	4.627
227.5	4.556
228.0	4.493
228.5	4.436
229.0	4.384
229.5	4.334
230.0	4.284
230.5	4.234
231.0	4.183
231.5	4.132
232.0	4.076
232.5	4.008
233.0	3.930
233.5	3.848
234.0	3.772
234.5	3.702
235.0	3.640
235.5	3.585
236.0	3.544
236.5	3.516
237.0	3.496
237.5	3.484
238.0	3.483
238.5	3.495
239.0	3.517
239.5	3.547
240.0	3.577
240.5	3.610
241.0	3.638
241.5	3.668
242.0	3.704
242.5	3.747
243.0	3.802
243.5	3.871
244.0	3.942
244.5	4.003
245.0	4.058
245.5	4.110
246.0	4.160
246.5	4.210
247.0	4.258
247.5	4.306
248.0	4.351
248.5	4.396
249.0	4.440
249.5	4.481
250.0	4.518
250.5	4.558
251.0	4.601
251.5	4.648
252.0	4.700
252.5	4.753
253.0	4.803
253.5	4.851
254.0	4.894
254.5	4.932
255.0	4.966
255.5	4.997
256.0	5.024
256.5	5.049
257.0	5.067
257.5	5.080
258.0	5.085
258.5	5.086
259.0	5.084
259.5	5.077
260.0	5.068
260.5	5.057
261.0	5.043
261.5	5.026
262.0	5.004
262.5	4.980
263.0	4.947
263.5	4.908
264.0	4.856
264.5	4.792
265.0	4.720
265.5	4.647
266.0	4.576
266.5	4.505
267.0	4.438
267.5	4.369
268.0	4.293
268.5	4.215
269.0	4.143
269.5	4.075
270.0	4.010
270.5	3.943
271.0	3.878
271.5	3.814
272.0	3.748
272.5	3.681
273.0	3.612
273.5	3.545
274.0	3.479
274.5	3.412
275.0	3.346
275.5	3.275
276.0	3.197
276.5	3.116
277.0	3.035
277.5	2.950
278.0	2.865
278.5	2.779
279.0	2.692
279.5	2.608
280.0	2.529
280.5	2.450
281.0	2.370
281.5	2.289
282.0	2.208
282.5	2.129
283.0	2.052
283.5	1.975
284.0	1.902
284.5	1.832
285.0	1.767
285.5	1.705
286.0	1.640
286.5	1.575
287.0	1.507
287.5	1.438
288.0	1.371
288.5	1.310
289.0	1.251
289.5	1.193
290.0	1.135
290.5	1.075
291.0	1.012
291.5	0.948
292.0	0.890
292.5	0.834
293.0	0.779
293.5	0.725
294.0	0.671
294.5	0.620
295.0	0.569
295.5	0.525
296.0	0.485
296.5	0.448
297.0	0.416
297.5	0.386
298.0	0.359
298.5	0.333
299.0	0.308
299.5	0.282
300.0	0.260
300.5	0.240
301.0	0.220
301.5	0.201
302.0	0.182
302.5	0.165
303.0	0.148
303.5	0.133
304.0	0.120
304.5	0.109
305.0	0.098
305.5	0.087
306.0	0.078
306.5	0.071
307.0	0.066
307.5	0.061
308.0	0.057
308.5	0.053
309.0	0.050
309.5	0.047
310.0	0.045
310.5	0.041
311.0	0.040
311.5	0.039
312.0	0.037
312.5	0.035
313.0	0.034
313.5	0.033
314.0	0.032
314.5	0.029
315.0	0.026
315.5	0.022
316.0	0.020
316.5	0.017
317.0	0.012
317.5	0.010
318.0	0.008
318.5	0.007
319.0	0.004
319.5	0.002
320.0	0.003
320.5	0.000
321.0	0.002
321.5	-0.001
322.0	0.000
322.5	0.002
323.0	0.005
323.5	0.005
324.0	0.006
324.5	0.007
325.0	0.006
325.5	0.007
326.0	0.007
326.5	0.008
327.0	0.010
327.5	0.010
328.0	0.011
328.5	0.009
329.0	0.010
329.5	0.010
330.0	0.010
330.5	0.008
331.0	0.007
331.5	0.008
332.0	0.008
332.5	0.007
333.0	0.007
333.5	0.006
334.0	0.006
334.5	0.007
335.0	0.006
335.5	0.007
336.0	0.007
336.5	0.005
337.0	0.004
337.5	0.003
338.0	0.002
338.5	0.001
339.0	0.000
339.5	0.000
340.0	0.000
340.5	-0.001
341.0	0.001
341.5	0.001
342.0	0.000
342.5	0.000
343.0	0.000
343.5	0.000
344.0	0.001
344.5	0.002
345.0	0.003
345.5	0.003
346.0	0.004
346.5	0.005
347.0	0.005
347.5	0.004
348.0	0.007
348.5	0.009
349.0	0.009
349.5	0.008
350.0	0.011


Sample 5
3/25/2021 5:45 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	5.590
220.5	5.419
221.0	5.254
221.5	5.096
222.0	4.948
222.5	4.803
223.0	4.661
223.5	4.521
224.0	4.384
224.5	4.254
225.0	4.145
225.5	4.059
226.0	3.996
226.5	3.949
227.0	3.910
227.5	3.879
228.0	3.852
228.5	3.829
229.0	3.808
229.5	3.790
230.0	3.773
230.5	3.759
231.0	3.747
231.5	3.737
232.0	3.727
232.5	3.714
233.0	3.702
233.5	3.693
234.0	3.691
234.5	3.697
235.0	3.709
235.5	3.731
236.0	3.761
236.5	3.802
237.0	3.846
237.5	3.904
238.0	3.975
238.5	4.064
239.0	4.157
239.5	4.253
240.0	4.341
240.5	4.420
241.0	4.493
241.5	4.562
242.0	4.632
242.5	4.708
243.0	4.801
243.5	4.912
244.0	5.022
244.5	5.120
245.0	5.204
245.5	5.283
246.0	5.359
246.5	5.438
247.0	5.515
247.5	5.588
248.0	5.656
248.5	5.722
249.0	5.784
249.5	5.842
250.0	5.897
250.5	5.954
251.0	6.015
251.5	6.084
252.0	6.160
252.5	6.237
253.0	6.309
253.5	6.377
254.0	6.437
254.5	6.488
255.0	6.532
255.5	6.574
256.0	6.610
256.5	6.643
257.0	6.670
257.5	6.686
258.0	6.693
258.5	6.692
259.0	6.687
259.5	6.676
260.0	6.665
260.5	6.651
261.0	6.632
261.5	6.610
262.0	6.582
262.5	6.549
263.0	6.507
263.5	6.454
264.0	6.388
264.5	6.304
265.0	6.210
265.5	6.114
266.0	6.021
266.5	5.929
267.0	5.843
267.5	5.752
268.0	5.651
268.5	5.550
269.0	5.452
269.5	5.361
270.0	5.277
270.5	5.190
271.0	5.102
271.5	5.016
272.0	4.930
272.5	4.840
273.0	4.751
273.5	4.661
274.0	4.574
274.5	4.486
275.0	4.397
275.5	4.303
276.0	4.202
276.5	4.095
277.0	3.989
277.5	3.877
278.0	3.764
278.5	3.651
279.0	3.535
279.5	3.423
280.0	3.317
280.5	3.211
281.0	3.107
281.5	2.999
282.0	2.890
282.5	2.787
283.0	2.683
283.5	2.580
284.0	2.481
284.5	2.390
285.0	2.303
285.5	2.218
286.0	2.132
286.5	2.045
287.0	1.954
287.5	1.862
288.0	1.775
288.5	1.693
289.0	1.614
289.5	1.536
290.0	1.459
290.5	1.379
291.0	1.296
291.5	1.213
292.0	1.136
292.5	1.063
293.0	0.989
293.5	0.920
294.0	0.851
294.5	0.783
295.0	0.718
295.5	0.659
296.0	0.607
296.5	0.560
297.0	0.520
297.5	0.482
298.0	0.447
298.5	0.414
299.0	0.381
299.5	0.349
300.0	0.318
300.5	0.294
301.0	0.268
301.5	0.243
302.0	0.218
302.5	0.196
303.0	0.175
303.5	0.156
304.0	0.140
304.5	0.125
305.0	0.112
305.5	0.099
306.0	0.089
306.5	0.078
307.0	0.070
307.5	0.065
308.0	0.060
308.5	0.056
309.0	0.053
309.5	0.050
310.0	0.048
310.5	0.045
311.0	0.043
311.5	0.040
312.0	0.036
312.5	0.034
313.0	0.033
313.5	0.031
314.0	0.031
314.5	0.028
315.0	0.026
315.5	0.023
316.0	0.021
316.5	0.018
317.0	0.014
317.5	0.012
318.0	0.010
318.5	0.008
319.0	0.008
319.5	0.007
320.0	0.009
320.5	0.007
321.0	0.009
321.5	0.006
322.0	0.006
322.5	0.006
323.0	0.008
323.5	0.007
324.0	0.006
324.5	0.007
325.0	0.006
325.5	0.007
326.0	0.008
326.5	0.007
327.0	0.008
327.5	0.008
328.0	0.007
328.5	0.005
329.0	0.005
329.5	0.005
330.0	0.006
330.5	0.005
331.0	0.003
331.5	0.004
332.0	0.004
332.5	0.003
333.0	0.003
333.5	0.002
334.0	0.002
334.5	0.001
335.0	0.001
335.5	0.002
336.0	0.003
336.5	0.001
337.0	0.001
337.5	0.000
338.0	0.000
338.5	0.000
339.0	-0.001
339.5	0.000
340.0	0.000
340.5	-0.001
341.0	0.000
341.5	0.001
342.0	0.000
342.5	0.000
343.0	0.001
343.5	0.002
344.0	0.003
344.5	0.004
345.0	0.003
345.5	0.004
346.0	0.005
346.5	0.006
347.0	0.006
347.5	0.006
348.0	0.009
348.5	0.011
349.0	0.011
349.5	0.012
350.0	0.014


Sample 6
3/25/2021 5:45 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	8.143
220.5	7.923
221.0	7.707
221.5	7.471
222.0	7.247
222.5	7.025
223.0	6.806
223.5	6.585
224.0	6.354
224.5	6.117
225.0	5.907
225.5	5.729
226.0	5.594
226.5	5.491
227.0	5.412
227.5	5.346
228.0	5.285
228.5	5.228
229.0	5.180
229.5	5.134
230.0	5.089
230.5	5.043
231.0	4.997
231.5	4.950
232.0	4.901
232.5	4.842
233.0	4.780
233.5	4.719
234.0	4.666
234.5	4.617
235.0	4.573
235.5	4.541
236.0	4.524
236.5	4.516
237.0	4.518
237.5	4.530
238.0	4.558
238.5	4.605
239.0	4.663
239.5	4.726
240.0	4.786
240.5	4.843
241.0	4.901
241.5	4.959
242.0	5.017
242.5	5.085
243.0	5.168
243.5	5.271
244.0	5.375
244.5	5.463
245.0	5.546
245.5	5.623
246.0	5.698
246.5	5.774
247.0	5.849
247.5	5.922
248.0	5.992
248.5	6.056
249.0	6.116
249.5	6.175
250.0	6.230
250.5	6.289
251.0	6.354
251.5	6.428
252.0	6.512
252.5	6.593
253.0	6.670
253.5	6.739
254.0	6.804
254.5	6.857
255.0	6.903
255.5	6.944
256.0	6.982
256.5	7.017
257.0	7.042
257.5	7.056
258.0	7.064
258.5	7.063
259.0	7.058
259.5	7.047
260.0	7.034
260.5	7.017
261.0	6.995
261.5	6.973
262.0	6.948
262.5	6.914
263.0	6.870
263.5	6.815
264.0	6.744
264.5	6.658
265.0	6.557
265.5	6.453
266.0	6.352
266.5	6.254
267.0	6.164
267.5	6.071
268.0	5.965
268.5	5.855
269.0	5.752
269.5	5.657
270.0	5.567
270.5	5.477
271.0	5.387
271.5	5.296
272.0	5.205
272.5	5.112
273.0	5.016
273.5	4.919
274.0	4.826
274.5	4.732
275.0	4.639
275.5	4.539
276.0	4.430
276.5	4.315
277.0	4.200
277.5	4.078
278.0	3.955
278.5	3.831
279.0	3.707
279.5	3.587
280.0	3.475
280.5	3.365
281.0	3.256
281.5	3.141
282.0	3.028
282.5	2.917
283.0	2.808
283.5	2.703
284.0	2.603
284.5	2.511
285.0	2.422
285.5	2.336
286.0	2.252
286.5	2.165
287.0	2.071
287.5	1.975
288.0	1.883
288.5	1.797
289.0	1.715
289.5	1.633
290.0	1.552
290.5	1.468
291.0	1.382
291.5	1.293
292.0	1.209
292.5	1.131
293.0	1.054
293.5	0.978
294.0	0.903
294.5	0.833
295.0	0.766
295.5	0.705
296.0	0.650
296.5	0.600
297.0	0.557
297.5	0.517
298.0	0.481
298.5	0.444
299.0	0.410
299.5	0.377
300.0	0.346
300.5	0.320
301.0	0.295
301.5	0.269
302.0	0.242
302.5	0.217
303.0	0.195
303.5	0.175
304.0	0.159
304.5	0.145
305.0	0.130
305.5	0.115
306.0	0.102
306.5	0.091
307.0	0.082
307.5	0.076
308.0	0.070
308.5	0.064
309.0	0.057
309.5	0.054
310.0	0.053
310.5	0.049
311.0	0.045
311.5	0.042
312.0	0.037
312.5	0.035
313.0	0.037
313.5	0.037
314.0	0.039
314.5	0.038
315.0	0.038
315.5	0.035
316.0	0.033
316.5	0.033
317.0	0.031
317.5	0.030
318.0	0.028
318.5	0.028
319.0	0.030
319.5	0.030
320.0	0.034
320.5	0.031
321.0	0.032
321.5	0.030
322.0	0.029
322.5	0.027
323.0	0.027
323.5	0.029
324.0	0.028
324.5	0.028
325.0	0.026
325.5	0.027
326.0	0.028
326.5	0.029
327.0	0.028
327.5	0.028
328.0	0.028
328.5	0.027
329.0	0.028
329.5	0.029
330.0	0.030
330.5	0.030
331.0	0.027
331.5	0.027
332.0	0.028
332.5	0.027
333.0	0.026
333.5	0.024
334.0	0.021
334.5	0.021
335.0	0.020
335.5	0.018
336.0	0.017
336.5	0.013
337.0	0.010
337.5	0.008
338.0	0.007
338.5	0.005
339.0	0.004
339.5	0.001
340.0	0.000
340.5	-0.002
341.0	-0.001
341.5	0.000
342.0	0.001
342.5	0.001
343.0	0.002
343.5	0.002
344.0	0.004
344.5	0.005
345.0	0.005
345.5	0.006
346.0	0.007
346.5	0.008
347.0	0.009
347.5	0.011
348.0	0.015
348.5	0.016
349.0	0.017
349.5	0.017
350.0	0.016


Sample 7
3/25/2021 5:46 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.14000	
//WLCalib: 261S 	0.08000	
//WLCalib: 362S 	0.02000	
//WLCalib: 484S 	-0.04000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.28000	
//QSpecEnd: 
220.0	8.977
220.5	8.739
221.0	8.498
221.5	8.249
222.0	8.008
222.5	7.764
223.0	7.522
223.5	7.275
224.0	7.020
224.5	6.757
225.0	6.515
225.5	6.324
226.0	6.181
226.5	6.068
227.0	5.973
227.5	5.889
228.0	5.815
228.5	5.749
229.0	5.689
229.5	5.631
230.0	5.573
230.5	5.515
231.0	5.457
231.5	5.397
232.0	5.333
232.5	5.256
233.0	5.170
233.5	5.080
234.0	4.999
234.5	4.926
235.0	4.863
235.5	4.811
236.0	4.773
236.5	4.750
