seqnames,start,end,width,strand,gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,control_mean_psi,tdp43kd002_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,lsv_junc,ir_start,ir_end,paste_into_igv_junction,junc_dist,strand_start,transcript_id_start,exon_name_start,exon_rank_start,gene_id_start,strand_end,transcript_id_end,exon_name_end,exon_rank_end,gene_id_end,gene_id_junc,junc_in_ref,junc_cat
chrX,11765729,11767145,1417,+,MSL3,ENSG00000005302.19,ENSG00000005302.19:s:11765193-11766267,0,6.404e-21,1,6e-04,7e-04,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i",7,6,0,ENSG00000005302.19:s:11765193-11766267_11765729-11767145,,,chrX:11765729-11767145,1416,+,ENST00000361672.6|ENST00000650370.1|ENST00000647869.1|ENST00000649988.1|ENST00000312196.10|ENST00000647857.1|ENST00000468149.5|ENST00000649130.1|ENST00000398527.7|ENST00000649078.1|ENST00000649602.1|ENST00000649308.1|ENST00000650215.1|ENST00000649785.1|ENST00000649685.1|ENST00000649684.1|ENST00000649649.1|ENST00000380693.8|ENST00000650628.1|ENST00000649797.1|ENST00000482871.6|ENST00000648013.1|ENST00000649271.1|ENST00000647985.1|ENST00000650050.1|ENST00000380691.3|ENST00000648545.1|ENST00000648656.1|ENST00000650106.1|ENST00000467141.2|ENST00000648692.1|ENST00000647839.1|ENST00000648287.1|ENST00000647599.1|ENST00000649420.1,ENSE00003554346.1|ENSE00003651680.1|ENSE00001485910.2|ENSE00003837564.1|ENSE00001847902.1|ENSE00003834204.1|ENSE00001882445.2,8|9|6|7|3|1,ENSG00000005302.19,+,ENST00000648545.1|ENST00000648656.1|ENST00000648692.1|ENST00000649420.1,ENSE00003831700.1|ENSE00003835037.1|ENSE00003838388.1,3|2,ENSG00000005302.19,ENSG00000005302.19,TRUE,annotated
chrX,11765729,11767819,2091,+,MSL3,ENSG00000005302.19,ENSG00000005302.19:s:11765193-11766267,0,6.404e-21,1,6e-04,7e-04,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i",7,6,0,ENSG00000005302.19:s:11765193-11766267_11765729-11767819,,,chrX:11765729-11767819,2090,+,ENST00000361672.6|ENST00000650370.1|ENST00000647869.1|ENST00000649988.1|ENST00000312196.10|ENST00000647857.1|ENST00000468149.5|ENST00000649130.1|ENST00000398527.7|ENST00000649078.1|ENST00000649602.1|ENST00000649308.1|ENST00000650215.1|ENST00000649785.1|ENST00000649685.1|ENST00000649684.1|ENST00000649649.1|ENST00000380693.8|ENST00000650628.1|ENST00000649797.1|ENST00000482871.6|ENST00000648013.1|ENST00000649271.1|ENST00000647985.1|ENST00000650050.1|ENST00000380691.3|ENST00000648545.1|ENST00000648656.1|ENST00000650106.1|ENST00000467141.2|ENST00000648692.1|ENST00000647839.1|ENST00000648287.1|ENST00000647599.1|ENST00000649420.1,ENSE00003554346.1|ENSE00003651680.1|ENSE00001485910.2|ENSE00003837564.1|ENSE00001847902.1|ENSE00003834204.1|ENSE00001882445.2,8|9|6|7|3|1,ENSG00000005302.19,+,ENST00000650106.1|ENST00000647599.1|ENST00000649420.1,ENSE00003840184.1|ENSE00003836013.1|ENSE00003832615.1,3|2|4,ENSG00000005302.19,ENSG00000005302.19,TRUE,annotated
chrX,11765729,11768573,2845,+,MSL3,ENSG00000005302.19,ENSG00000005302.19:s:11765193-11766267,-0.1528,0.7605,0.01723,0.4879,0.3034,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i",7,6,0,ENSG00000005302.19:s:11765193-11766267_11765729-11768573,,,chrX:11765729-11768573,2844,+,ENST00000361672.6|ENST00000650370.1|ENST00000647869.1|ENST00000649988.1|ENST00000312196.10|ENST00000647857.1|ENST00000468149.5|ENST00000649130.1|ENST00000398527.7|ENST00000649078.1|ENST00000649602.1|ENST00000649308.1|ENST00000650215.1|ENST00000649785.1|ENST00000649685.1|ENST00000649684.1|ENST00000649649.1|ENST00000380693.8|ENST00000650628.1|ENST00000649797.1|ENST00000482871.6|ENST00000648013.1|ENST00000649271.1|ENST00000647985.1|ENST00000650050.1|ENST00000380691.3|ENST00000648545.1|ENST00000648656.1|ENST00000650106.1|ENST00000467141.2|ENST00000648692.1|ENST00000647839.1|ENST00000648287.1|ENST00000647599.1|ENST00000649420.1,ENSE00003554346.1|ENSE00003651680.1|ENSE00001485910.2|ENSE00003837564.1|ENSE00001847902.1|ENSE00003834204.1|ENSE00001882445.2,8|9|6|7|3|1,ENSG00000005302.19,+,ENST00000361672.6|ENST00000650370.1|ENST00000647869.1|ENST00000649988.1|ENST00000312196.10|ENST00000647857.1|ENST00000468149.5|ENST00000649130.1|ENST00000398527.7|ENST00000649078.1|ENST00000649602.1|ENST00000650215.1|ENST00000649685.1|ENST00000649684.1|ENST00000649649.1|ENST00000380693.8|ENST00000650628.1|ENST00000482871.6|ENST00000648013.1|ENST00000649271.1|ENST00000647985.1|ENST00000380691.3|ENST00000648692.1|ENST00000648287.1|ENST00000647599.1,ENSE00003467194.1|ENSE00003567258.1|ENSE00003835119.1|ENSE00003838889.1|ENSE00001927248.1|ENSE00003839490.1,9|10|7|8|4|2|3,ENSG00000005302.19,ENSG00000005302.19,TRUE,annotated
chrX,11765729,11768575,2847,+,MSL3,ENSG00000005302.19,ENSG00000005302.19:s:11765193-11766267,0,1.656e-09,0.9998,6e-04,0.0054,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i",7,6,0,ENSG00000005302.19:s:11765193-11766267_11765729-11768575,,,chrX:11765729-11768575,2846,+,ENST00000361672.6|ENST00000650370.1|ENST00000647869.1|ENST00000649988.1|ENST00000312196.10|ENST00000647857.1|ENST00000468149.5|ENST00000649130.1|ENST00000398527.7|ENST00000649078.1|ENST00000649602.1|ENST00000649308.1|ENST00000650215.1|ENST00000649785.1|ENST00000649685.1|ENST00000649684.1|ENST00000649649.1|ENST00000380693.8|ENST00000650628.1|ENST00000649797.1|ENST00000482871.6|ENST00000648013.1|ENST00000649271.1|ENST00000647985.1|ENST00000650050.1|ENST00000380691.3|ENST00000648545.1|ENST00000648656.1|ENST00000650106.1|ENST00000467141.2|ENST00000648692.1|ENST00000647839.1|ENST00000648287.1|ENST00000647599.1|ENST00000649420.1,ENSE00003554346.1|ENSE00003651680.1|ENSE00001485910.2|ENSE00003837564.1|ENSE00001847902.1|ENSE00003834204.1|ENSE00001882445.2,8|9|6|7|3|1,ENSG00000005302.19,+,ENST00000649785.1|ENST00000467141.2,ENSE00003831854.1|ENSE00003834654.1,9|2,ENSG00000005302.19,ENSG00000005302.19,TRUE,annotated
chrX,11765729,11772156,6428,+,MSL3,ENSG00000005302.19,ENSG00000005302.19:s:11765193-11766267,0,6.404e-21,1,6e-04,7e-04,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i",7,6,0,ENSG00000005302.19:s:11765193-11766267_11765729-11772156,,,chrX:11765729-11772156,6427,+,ENST00000361672.6|ENST00000650370.1|ENST00000647869.1|ENST00000649988.1|ENST00000312196.10|ENST00000647857.1|ENST00000468149.5|ENST00000649130.1|ENST00000398527.7|ENST00000649078.1|ENST00000649602.1|ENST00000649308.1|ENST00000650215.1|ENST00000649785.1|ENST00000649685.1|ENST00000649684.1|ENST00000649649.1|ENST00000380693.8|ENST00000650628.1|ENST00000649797.1|ENST00000482871.6|ENST00000648013.1|ENST00000649271.1|ENST00000647985.1|ENST00000650050.1|ENST00000380691.3|ENST00000648545.1|ENST00000648656.1|ENST00000650106.1|ENST00000467141.2|ENST00000648692.1|ENST00000647839.1|ENST00000648287.1|ENST00000647599.1|ENST00000649420.1,ENSE00003554346.1|ENSE00003651680.1|ENSE00001485910.2|ENSE00003837564.1|ENSE00001847902.1|ENSE00003834204.1|ENSE00001882445.2,8|9|6|7|3|1,ENSG00000005302.19,+,ENST00000361672.6|ENST00000650370.1|ENST00000647869.1|ENST00000312196.10|ENST00000468149.5|ENST00000649130.1|ENST00000398527.7|ENST00000649078.1|ENST00000649602.1|ENST00000649308.1|ENST00000650215.1|ENST00000649785.1|ENST00000649685.1|ENST00000649684.1|ENST00000649649.1|ENST00000380693.8|ENST00000648207.1|ENST00000650628.1|ENST00000482871.6|ENST00000648013.1|ENST00000649271.1|ENST00000647985.1|ENST00000650050.1|ENST00000380691.3|ENST00000647839.1|ENST00000648287.1|ENST00000647599.1,ENSE00003531274.1|ENSE00003534824.1|ENSE00001917573.2,10|11|9|8|5|4|3,ENSG00000005302.19,ENSG00000005302.19,TRUE,annotated
chrX,11766268,11766960,693,+,MSL3,ENSG00000005302.19,ENSG00000005302.19:s:11765193-11766267,0.1506,0.7499,0.01853,0.5065,0.6868,"s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i",7,6,0,ENSG00000005302.19:s:11765193-11766267_11766268-11766960,,,chrX:11766268-11766960,692,,,,,,,,,,,,FALSE,none
chr11,3360788,3370975,10188,-,ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3360720-3360788,-0.0863,0.3979,0.109,0.1236,0.0036,"t|1e1.1o2|1e2.2o2|i",3,3,0,ENSG00000005801.18:t:3360720-3360788_3360788-3370975,3360789,3361742,chr11:3360788-3370975,10187,-,ENST00000399602.9|ENST00000620374.4|ENST00000528410.5|ENST00000526540.5,ENSE00003547407.1|ENSE00003575254.1,5|6|3,ENSG00000005801.18,-,ENST00000528796.5|ENST00000354599.10|ENST00000399602.9|ENST00000343338.11|ENST00000620374.4|ENST00000649622.1|ENST00000429541.6|ENST00000005082.13|ENST00000526601.5|ENST00000438262.6|ENST00000528410.5|ENST00000528218.5|ENST00000529789.5|ENST00000533036.5|ENST00000529228.5|ENST00000529678.5|ENST00000427810.6|ENST00000534569.5|ENST00000524857.5|ENST00000530643.5|ENST00000618467.4|ENST00000330692.11|ENST00000525502.5|ENST00000526501.5|ENST00000532539.1|ENST00000529085.5,ENSE00003547169.1|ENSE00003513187.1|ENSE00002145336.1|ENSE00002186165.1,3|4|5|1,ENSG00000005801.18,ENSG00000005801.18,TRUE,annotated
chr11,3360788,3361743,956,-,ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3360720-3360788,-0.0326,0.1987,0.2098,0.3479,0.2916,"t|1e1.1o2|1e2.2o2|i",3,3,0,ENSG00000005801.18:t:3360720-3360788_3360788-3361743,,,chr11:3360788-3361743,955,-,ENST00000399602.9|ENST00000620374.4|ENST00000528410.5|ENST00000526540.5,ENSE00003547407.1|ENSE00003575254.1,5|6|3,ENSG00000005801.18,-,ENST00000399602.9|ENST00000620374.4|ENST00000649622.1|ENST00000005082.13|ENST00000526601.5|ENST00000528218.5|ENST00000529789.5|ENST00000525313.6|ENST00000533036.5|ENST00000529228.5|ENST00000526540.5|ENST00000526598.1,ENSE00003586536.1|ENSE00003837735.1|ENSE00003468655.1,4|5|6|2|3,ENSG00000005801.18,ENSG00000005801.18,TRUE,annotated
chr11,3360789,3361742,954,-,ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3360720-3360788,0.1334,0.5628,0.03388,0.5513,0.7044,"t|1e1.1o2|1e2.2o2|i",3,3,1,ENSG00000005801.18:t:3360720-3360788_3360789-3361742,,,chr11:3360789-3361742,953,,,,,,,,,,,,FALSE,none
chr11,3362602,3370975,8374,-,ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3362533-3362831,-0.1278,0.663,0.03221,0.317,0.1722,"t|1e1.1o2|1e2.1o1|1e3.1o1|i",4,4,0,ENSG00000005801.18:t:3362533-3362831_3362602-3370975,3362832,3363302,chr11:3362602-3370975,8373,-,ENST00000438262.6|ENST00000528218.5|ENST00000524857.5|ENST00000530643.5|ENST00000618467.4,ENSE00003579799.1|ENSE00002141834.1|ENSE00003484076.1|ENSE00003748300.1,5,ENSG00000005801.18,-,ENST00000528796.5|ENST00000354599.10|ENST00000399602.9|ENST00000343338.11|ENST00000620374.4|ENST00000649622.1|ENST00000429541.6|ENST00000005082.13|ENST00000526601.5|ENST00000438262.6|ENST00000528410.5|ENST00000528218.5|ENST00000529789.5|ENST00000533036.5|ENST00000529228.5|ENST00000529678.5|ENST00000427810.6|ENST00000534569.5|ENST00000524857.5|ENST00000530643.5|ENST00000618467.4|ENST00000330692.11|ENST00000525502.5|ENST00000526501.5|ENST00000532539.1|ENST00000529085.5,ENSE00003547169.1|ENSE00003513187.1|ENSE00002145336.1|ENSE00002186165.1,3|4|5|1,ENSG00000005801.18,ENSG00000005801.18,TRUE,annotated
chr11,3362602,3369357,6756,-,ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3362533-3362831,-3e-04,8.789e-06,0.9845,0.0137,0.0083,"t|1e1.1o2|1e2.1o1|1e3.1o1|i",4,4,0,ENSG00000005801.18:t:3362533-3362831_3362602-3369357,,,chr11:3362602-3369357,6755,-,ENST00000438262.6|ENST00000528218.5|ENST00000524857.5|ENST00000530643.5|ENST00000618467.4,ENSE00003579799.1|ENSE00002141834.1|ENSE00003484076.1|ENSE00003748300.1,5,ENSG00000005801.18,-,ENST00000530643.5|ENST00000526501.5,ENSE00002188548.1,4,ENSG00000005801.18,ENSG00000005801.18,TRUE,annotated
chr11,3362602,3363303,702,-,ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3362533-3362831,-0.0217,0.08203,0.398,0.1636,0.1284,"t|1e1.1o2|1e2.1o1|1e3.1o1|i",4,4,1,ENSG00000005801.18:t:3362533-3362831_3362602-3363303,,,chr11:3362602-3363303,701,-,ENST00000438262.6|ENST00000528218.5|ENST00000524857.5|ENST00000530643.5|ENST00000618467.4,ENSE00003579799.1|ENSE00002141834.1|ENSE00003484076.1|ENSE00003748300.1,5,ENSG00000005801.18,,,,,,ENSG00000005801.18,FALSE,novel_donor
chr11,3362832,3363302,471,-,ZNF195,ENSG00000005801.18,ENSG00000005801.18:t:3362533-3362831,0.1684,0.8213,0.01044,0.4926,0.6849,"t|1e1.1o2|1e2.1o1|1e3.1o1|i",4,4,0,ENSG00000005801.18:t:3362533-3362831_3362832-3363302,,,chr11:3362832-3363302,470,,,,,,,,,,,,FALSE,none
chr5,134308727,134312292,3566,-,CDKL3,ENSG00000006837.12,ENSG00000006837.12:s:134312292-134312380,0.114,0.5308,0.04956,0.7358,0.8893,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000006837.12:s:134312292-134312380_134308727-134312292,,,chr5:134308727-134312292,3565,-,ENST00000520515.5|ENST00000518409.1|ENST00000520693.5|ENST00000265334.9|ENST00000523054.5|ENST00000521118.5|ENST00000520592.1|ENST00000523832.1,ENSE00003524296.1|ENSE00003510317.1|ENSE00003625884.1,5|3|4|8|7|2,ENSG00000273345.5|ENSG00000006837.12,-,ENST00000520515.5|ENST00000519312.5|ENST00000265334.9|ENST00000523054.5|ENST00000521118.5|ENST00000523832.1,ENSE00003703061.1|ENSE00003552998.1,4|7|6,ENSG00000273345.5|ENSG00000006837.12,ENSG00000273345.5|ENSG00000006837.12,TRUE,annotated
chr5,134308466,134312292,3827,-,CDKL3,ENSG00000006837.12,ENSG00000006837.12:s:134312292-134312380,-0.114,0.5308,0.04956,0.2642,0.1107,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000006837.12:s:134312292-134312380_134308466-134312292,,,chr5:134308466-134312292,3826,-,ENST00000520515.5|ENST00000518409.1|ENST00000520693.5|ENST00000519312.5|ENST00000265334.9|ENST00000523054.5|ENST00000521118.5|ENST00000520592.1|ENST00000523832.1|ENST00000521755.1,ENSE00003704085.1|ENSE00003704563.1|ENSE00003612910.1|ENSE00003471297.1|ENSE00003561921.1|ENSE00003478096.1|ENSE00003471548.1,6|4|5|9|8|3,ENSG00000273345.5|ENSG00000006837.12,-,ENST00000520515.5|ENST00000519312.5|ENST00000265334.9|ENST00000523054.5|ENST00000521118.5|ENST00000523832.1,ENSE00003703061.1|ENSE00003552998.1,4|7|6,ENSG00000273345.5|ENSG00000006837.12,ENSG00000273345.5|ENSG00000006837.12,TRUE,annotated
chr16,580263,582248,1986,+,PIGQ,ENSG00000007541.17,ENSG00000007541.17:t:581761-582309,0,3.689e-08,0.9998,0.0027,0.0023,"t|1e1.1o1|1e2.1o1|1e3.1o1",3,4,0,ENSG00000007541.17:t:581761-582309_580263-582248,,,chr16:580263-582248,1985,+,ENST00000409527.6|ENST00000321878.10|ENST00000636657.1|ENST00000026218.9|ENST00000443147.5|ENST00000635909.1|ENST00000636005.1|ENST00000638143.1|ENST00000635935.1|ENST00000420990.6|ENST00000635205.1,ENSE00000664270.1|ENSE00003797721.1|ENSE00003795904.1|ENSE00003801198.1,9|8|7|5|1|4|3,ENSG00000007541.17,+,ENST00000409527.6|ENST00000321878.10|ENST00000636657.1|ENST00000443147.5|ENST00000635909.1|ENST00000636005.1|ENST00000637468.1|ENST00000420990.6|ENST00000635205.1|ENST00000480424.6|ENST00000540241.1,ENSE00003616336.1|ENSE00003587465.1|ENSE00003489996.1,11|10|9|7|4|3,ENSG00000007541.17,ENSG00000007541.17,TRUE,annotated
chr16,580972,582248,1277,+,PIGQ,ENSG00000007541.17,ENSG00000007541.17:t:581761-582309,-0.1474,0.7179,0.02261,0.851,0.6834,"t|1e1.1o1|1e2.1o1|1e3.1o1",3,4,0,ENSG00000007541.17:t:581761-582309_580972-582248,,,chr16:580972-582248,1276,+,ENST00000409527.6|ENST00000321878.10|ENST00000636657.1|ENST00000026218.9|ENST00000443147.5|ENST00000635909.1|ENST00000636005.1|ENST00000637468.1|ENST00000420990.6|ENST00000480424.6|ENST00000540241.1,ENSE00001242883.2|ENSE00003798793.1|ENSE00003792188.1|ENSE00001933663.1,10|9|8|6|5|3|2,ENSG00000007541.17,+,ENST00000409527.6|ENST00000321878.10|ENST00000636657.1|ENST00000443147.5|ENST00000635909.1|ENST00000636005.1|ENST00000637468.1|ENST00000420990.6|ENST00000635205.1|ENST00000480424.6|ENST00000540241.1,ENSE00003616336.1|ENSE00003587465.1|ENSE00003489996.1,11|10|9|7|4|3,ENSG00000007541.17,ENSG00000007541.17,TRUE,annotated
chr16,581341,582248,908,+,PIGQ,ENSG00000007541.17,ENSG00000007541.17:t:581761-582309,0.1481,0.7213,0.02218,0.1461,0.3145,"t|1e1.1o1|1e2.1o1|1e3.1o1",3,4,0,ENSG00000007541.17:t:581761-582309_581341-582248,,,chr16:581341-582248,907,+,ENST00000443147.5|ENST00000420990.6,ENSE00001773062.1,10|6,ENSG00000007541.17,+,ENST00000409527.6|ENST00000321878.10|ENST00000636657.1|ENST00000443147.5|ENST00000635909.1|ENST00000636005.1|ENST00000637468.1|ENST00000420990.6|ENST00000635205.1|ENST00000480424.6|ENST00000540241.1,ENSE00003616336.1|ENSE00003587465.1|ENSE00003489996.1,11|10|9|7|4|3,ENSG00000007541.17,ENSG00000007541.17,TRUE,annotated
chr12,6873781,6882196,8416,+,LRRC23,ENSG00000010626.15,ENSG00000010626.15:s:6873569-6873781,0.169,0.6876,0.01891,0.6997,0.922,"s|1e1.1o1|1e2.1o1",2,3,0,ENSG00000010626.15:s:6873569-6873781_6873781-6882196,,,chr12:6873781-6882196,8415,+,ENST00000412023.5|ENST00000451612.5|ENST00000433346.5|ENST00000274820.7|ENST00000421824.1|ENST00000449039.5,ENSE00001685729.1|ENSE00001631337.1|ENSE00001757954.1|ENSE00001610938.1|ENSE00001652668.1|ENSE00001750958.1,1,ENSG00000240370.6|ENSG00000010626.15,+,ENST00000412023.5|ENST00000421824.1|ENST00000449039.5,ENSE00003485282.1|ENSE00003500981.1,2,ENSG00000240370.6|ENSG00000010626.15,ENSG00000240370.6|ENSG00000010626.15,TRUE,annotated
