# {
#     "changing_threshold": 0.1,
#     "command": "/SAN/vyplab/alb_projects/pipelines/splicing/env/bin/voila tsv /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/builder/splicegraph.sql /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi/noDox-dox0075.deltapsi.voila -f /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi_voila_tsv/noDox-dox0075.psi.tsv --threshold 0.1",
#     "group_sizes": {
#         "dox0075": 3,
#         "noDox": 3
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.3"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	noDox_mean_psi	dox0075_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
COPZ2	ENSG00000005243.10	ENSG00000005243.10:s:48033863-48033872	-0.0969;-0.0077;-0.0004;0.1257	4.541e-01;2.031e-02;2.743e-02;5.622e-01	6.842e-02;6.622e-01;5.888e-01;4.631e-02	0.8594;0.0338;0.0362;0.0465	0.7174;0.0180;0.0471;0.2363	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;1;1	chr17	-	48033302-48033863;48032741-48033863;48032233-48033863;48029176-48033863	48029125-48029425;48031646-48032233;48032686-48032741;48033211-48033302;48033863-48033872		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48033872-48029125
MSL3	ENSG00000005302.19	ENSG00000005302.19:s:11765193-11766267	-0.0101;0.0000;0.0000;-0.1505;0.0008;0.0000;0.1668	3.916e-03;1.875e-08;1.875e-08;6.940e-01;1.265e-04;1.875e-08;7.776e-01	6.982e-01;9.999e-01;9.999e-01;2.721e-02;9.654e-01;9.999e-01;1.729e-02	0.0443;0.0007;0.0007;0.8166;0.0007;0.0007;0.1286	0.0176;0.0013;0.0013;0.6421;0.0103;0.0013;0.3138	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o3|1e4.2o3|1e5.1o1|i	7	6	0;0;0;0;0;0;0	chrX	+	11765729-11766961;11765729-11767145;11765729-11767819;11765729-11768573;11765729-11768575;11765729-11772156;11766268-11766960	11765193-11766267;11766961-11767052;11767145-11767286;11767819-11767986;11768573-11769102;11772156-11772255	11766268-11766960	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A11772255-11765193
TSPOAP1	ENSG00000005379.17	ENSG00000005379.17:s:58305061-58305171	-0.0008;-0.1679;0.1785	9.709e-04;6.909e-01;7.267e-01	9.579e-01;2.166e-02;1.784e-02	0.0126;0.8973;0.0899	0.0045;0.6863;0.3093	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr17	-	58304723-58305061;58304399-58305061;58302447-58305061	58301228-58302447;58304338-58304399;58304611-58304723;58305061-58305171		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A58305171-58301228
TSPOAP1	ENSG00000005379.17	ENSG00000005379.17:s:58320109-58320129	0.1965;-0.1965	7.403e-01;7.403e-01	1.469e-02;1.469e-02	0.5775;0.4225	0.8194;0.1806	s|1e1.1o1|i	2	2	0;1	chr17	-	58319294-58320109;58319295-58320108	58319090-58319294;58320109-58320129	58319295-58320108	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A58320129-58319090
TSPOAP1	ENSG00000005379.17	ENSG00000005379.17:t:58307842-58307941	-0.1616;0.1616	8.125e-01;8.125e-01	1.184e-02;1.184e-02	0.1927;0.8073	0.0046;0.9954	t|1e1.1o1|1e2.1o1	2	3	0;0	chr17	-	58307941-58309967;58307941-58308541	58307842-58307941;58308541-58309380;58309967-58310158		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A58310158-58307842
WDR54	ENSG00000005448.17	ENSG00000005448.17:s:74425417-74425491	0.1082;-0.1082	5.883e-01;5.883e-01	2.776e-02;2.776e-02	0.8649;0.1351	0.9757;0.0243	s|1e1.1o2|1e1.2o2	2	2	0;0	chr2	+	74425491-74425570;74425491-74425640	74425417-74425491;74425570-74425755		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A74425755-74425417
ABCB4	ENSG00000005471.19	ENSG00000005471.19:s:87413617-87413717	0.4397;-0.4397	9.638e-01;9.638e-01	6.510e-04;6.510e-04	0.1509;0.8491	0.5905;0.4095	s|1e1.1o1|1e2.1o1	2	3	0;0	chr7	-	87412033-87413617;87409392-87413617	87409236-87409392;87411893-87412033;87413617-87413717		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87413717-87409236
ABCB4	ENSG00000005471.19	ENSG00000005471.19:t:87409236-87409392	-0.0153;-0.1213;0.1509	5.189e-02;5.353e-01;6.303e-01	4.744e-01;4.857e-02;2.955e-02	0.0789;0.4421;0.4772	0.0529;0.2884;0.6758	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;0	chr7	-	87409392-87417312;87409392-87413617;87409392-87411893	87409236-87409392;87411893-87412033;87413617-87413717;87417312-87417515		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87417515-87409236
ZNF195	ENSG00000005801.18	ENSG00000005801.18:s:3379038-3379222	-0.0394;0.0000;0.0000;-0.0002;-0.1362;0.2071	6.124e-02;7.205e-21;7.205e-21;6.787e-10;7.438e-01;9.792e-01	4.045e-01;1.000e+00;1.000e+00;9.916e-01;1.960e-02;4.050e-04	0.0882;0.0022;0.0003;0.0270;0.3481;0.5330	0.0383;0.0026;0.0004;0.0070;0.2030;0.7407	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1	6	5	0;0;0;0;0;0	chr11	-	3377900-3379038;3377802-3379038;3375662-3379038;3373675-3379038;3373656-3379038;3371703-3379038	3371577-3371703;3373577-3373675;3375497-3375662;3377617-3377900;3379038-3379222		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A3379222-3371577
ZNF195	ENSG00000005801.18	ENSG00000005801.18:t:3371577-3371703	0.2205;-0.0125;-0.1712	9.865e-01;2.610e-05;8.860e-01	1.011e-04;7.024e-01;5.407e-03	0.4989;0.0494;0.4494	0.7296;0.0007;0.2697	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr11	-	3371703-3379038;3371703-3377617;3371703-3373577	3371577-3371703;3373577-3373675;3377617-3377900;3379038-3379222		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A3379222-3371577
FBXL3	ENSG00000005812.11	ENSG00000005812.11:s:77026827-77027195	0.0003;0.1203;-0.1277;0.0000	7.260e-06;6.139e-01;6.560e-01;1.518e-10	9.837e-01;4.589e-02;3.756e-02;1.000e+00	0.0079;0.6887;0.3013;0.0014	0.0107;0.8377;0.1508;0.0015	s|1e1.1o1|2e1.1o1|2e2.1o1|2e3.1o1	4	4	1;0;1;0	chr13	-	77021861-77027012;77021861-77026827;77018722-77026827;77015580-77026827	77015165-77015581;77018600-77018744;77021513-77021861;77026827-77027195		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A77027195-77015165
TMEM98	ENSG00000006042.12	ENSG00000006042.12:s:32927910-32928237	-0.0000;0.2233;0.0000;-0.1950;-0.0063;-0.0000	7.205e-21;9.854e-01;7.205e-21;9.643e-01;3.672e-05;1.521e-10	1.000e+00;2.780e-04;1.000e+00;1.185e-03;7.625e-01;9.994e-01	0.0061;0.6610;0.0003;0.2736;0.0467;0.0155	0.0006;0.8785;0.0006;0.0749;0.0318;0.0077	s|1e1.1o1|1e2.1o1|1e3.1o3|1e3.2o3|1e4.1o1|1e5.1o1	6	6	0;0;1;0;1;1	chr17	+	32928237-32930900;32928237-32931327;32928237-32931447;32928237-32931475;32928237-32933174;32928237-32934291	32927910-32928237;32930900-32930971;32931034-32931402;32931447-32931659;32933174-32933305;32934291-32934363		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A32934363-32927910
PNPLA4	ENSG00000006757.12	ENSG00000006757.12:t:7925940-7926132	-0.1176;0.0289;0.0591	6.158e-01;1.325e-01;2.807e-01	4.681e-02;3.127e-01;1.649e-01	0.1611;0.1297;0.7110	0.0197;0.1787;0.8061	t|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chrX	-	7926132-7927686;7926132-7927671;7926132-7927286	7925940-7926132;7927286-7927413;7927671-7927739		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A7927739-7925940
TEAD3	ENSG00000007866.22	ENSG00000007866.22:t:35479305-35479316	-0.0000;-0.1360;0.2322;-0.0601	4.755e-06;6.492e-01;9.164e-01;2.337e-01	9.981e-01;3.454e-02;3.179e-03;2.058e-01	0.0036;0.1914;0.6967;0.1054	0.0023;0.0368;0.9380;0.0197	t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;1;0;0	chr6	-	35479316-35486461;35479316-35484560;35479316-35480312;35479316-35480060	35479305-35479316;35480060-35480122;35480312-35480374;35484560-35484624;35486461-35486711		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A35486711-35479305
JARID2	ENSG00000008083.14	ENSG00000008083.14:t:15374117-15374252	0.1224;-0.1224	6.409e-01;6.409e-01	3.953e-02;3.953e-02	0.7728;0.2272	0.9117;0.0883	t|1e1.1o1|1e2.1o1	2	3	0;0	chr6	+	15246584-15374117;15248964-15374117	15246069-15246584;15248855-15248964;15374117-15374252		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A15374252-15246069
CDK11A	ENSG00000008128.23	ENSG00000008128.23:s:1704223-1704344	0.1351;-0.1351	6.304e-01;6.304e-01	3.663e-02;3.663e-02	0.6788;0.3212	0.8421;0.1579	s|1e1.1o1|1e2.1o2	2	3	0;0	chr1	-	1704146-1704223;1703995-1704223	1703824-1703995;1704039-1704146;1704223-1704344		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A1704344-1703824
CDK11A	ENSG00000008128.23	ENSG00000008128.23:s:1719166-1719455	0.1026;0.0894;-0.2353	4.877e-01;3.991e-01;9.055e-01	6.702e-02;1.138e-01;3.994e-03	0.3765;0.0020;0.6218	0.5104;0.1190;0.3702	s|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;1;0	chr1	-	1716478-1719358;1709640-1719358;1716478-1719328	1709479-1709640;1716346-1716478;1719166-1719455		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A1719455-1709479
CDK11A	ENSG00000008128.23	ENSG00000008128.23:t:1716346-1716478	0.1742;-0.1757;0.0000	7.428e-01;7.475e-01;2.933e-07	1.770e-02;1.717e-02;9.995e-01	0.3765;0.6218;0.0020	0.5810;0.4156;0.0034	t|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;1	chr1	-	1716478-1719358;1716478-1719328;1716478-1716689	1716346-1716478;1716689-na;1719166-1719455		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A1719455-1716346
ADAM22	ENSG00000008277.15	ENSG00000008277.15:s:88181958-88183554	0.0244;0.0000;0.0000;-0.1210;0.1429;0.0000;0.0000;-0.0494	1.651e-20;7.205e-21;7.205e-21;6.866e-01;8.417e-01;7.205e-21;7.205e-21;2.037e-03	5.807e-01;1.000e+00;1.000e+00;2.913e-02;1.357e-02;1.000e+00;1.000e+00;4.768e-01	0.0440;0.0001;0.0022;0.3551;0.5213;0.0001;0.0036;0.0733	0.0582;0.0001;0.0037;0.2340;0.6688;0.0023;0.0021;0.0356	s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o3|1e4.2o3|1e4.3o3|1e5.1o3	8	6	0;0;1;0;0;1;1;1	chr7	+	88182024-88184292;88182024-88185830;88182024-88186181;88182024-88186615;88182024-88193116;88182024-88193170;88182024-88193173;88182024-88196471	88181958-88183554;88184292-88184402;88185830-88186422;88186615-88186701;88193116-88193260;88196471-88202889		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A88202889-88181958
ADAM22	ENSG00000008277.15	ENSG00000008277.15:s:88184292-88184402	-0.0257;0.1362;-0.0946	1.685e-01;5.987e-01;4.446e-01	2.625e-01;3.881e-02;8.656e-02	0.5162;0.2793;0.2048	0.4482;0.4488;0.0894	s|1e1.1o1|1e2.1o3|i	3	3	0;1;1	chr7	+	88184402-88186615;88184402-88193116;88184403-88185829	88184292-88184402;88186615-88186701;88193116-88193260	88184403-88185829	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A88193260-88184292
ADAM22	ENSG00000008277.15	ENSG00000008277.15:t:87971294-87971375	-0.1036;0.1036	4.731e-01;4.731e-01	6.584e-02;6.584e-02	0.7219;0.2781	0.5737;0.4263	t|1e1.1o1|1e2.1o1	2	3	1;1	chr7	+	87935186-87971294;87964684-87971294	87934756-87935186;87964634-87964684;87971294-87971375		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A87971375-87934756
ADAM22	ENSG00000008277.15	ENSG00000008277.15:t:88193116-88193260	0.1526;0.0000;0.0000;-0.1719;0.0000;0.0000;0.0000;0.0000	8.482e-01;7.109e-21;7.109e-21;9.248e-01;7.109e-21;7.109e-21;7.109e-21;7.109e-21	2.848e-03;1.000e+00;1.000e+00;2.808e-04;1.000e+00;1.000e+00;1.000e+00;1.000e+00	0.5532;0.0136;0.0059;0.4139;0.0036;0.0001;0.0037;0.0076	0.7052;0.0271;0.0082;0.2425;0.0068;0.0024;0.0022;0.0048	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|2e1.1o1|3e1.1o1|i	8	6	0;1;1;0;1;1;1;1	chr7	+	88182024-88193116;88184402-88193116;88186302-88193116;88186701-88193116;88188050-88193116;88182024-88193170;88182024-88193173;88186702-88193115	na-88188050;88181958-88183554;88184292-88184402;88185830-88186422;88186615-88186701;88193116-88193260	88186702-88193115	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A88193260-88181958
CELSR3	ENSG00000008300.17	ENSG00000008300.17:s:48650268-48650289	0.0283;-0.1711;-0.0000;0.0162;0.0584	3.366e-02;8.196e-01;3.408e-06;1.614e-02;2.640e-01	4.857e-01;1.346e-02;9.983e-01;5.895e-01;1.808e-01	0.0029;0.9338;0.0029;0.0170;0.0478	0.0658;0.7338;0.0070;0.0554;0.1304	s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1|i	5	3	1;1;1;1;1	chr3	-	48649717-48650275;48649215-48650275;48649717-48650268;48649215-48650268;48649718-48650267	48649121-48649215;48649534-48649717;48650268-48650289	48649718-48650267	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A48650289-48649121
CELSR3	ENSG00000008300.17	ENSG00000008300.17:s:48650480-48650581	0.6210;-0.7036;0.0874	1.000e+00;1.000e+00;3.837e-01	1.550e-20;0.000e+00;1.153e-01	0.2682;0.7179;0.0136	0.8785;0.0018;0.1195	s|1e1.1o1|1e2.1o1|i	3	3	1;0;1	chr3	-	48650289-48650480;48649215-48650480;48650290-48650479	48649121-48649215;48650268-48650289;48650480-48650581	48650290-48650479	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A48650581-48649121
CELSR3	ENSG00000008300.17	ENSG00000008300.17:t:48649121-48649215	-0.7156;0.5419;0.0213;0.0001;0.1124	1.000e+00;1.000e+00;2.522e-02;4.068e-07;5.993e-01	0.000e+00;1.960e-14;5.391e-01;9.976e-01;4.213e-02	0.7254;0.2560;0.0047;0.0008;0.0133	0.0013;0.7885;0.0585;0.0082;0.1389	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|i	5	4	0;1;1;1;1	chr3	-	48649215-48650480;48649215-48650275;48649215-48650268;48649215-48649534;48649216-48649533	48649121-48649215;48649534-48649717;48650268-48650289;48650480-48650581	48649216-48649533	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A48650581-48649121
RPS20	ENSG00000008988.11	ENSG00000008988.11:s:56070543-56073272	0.1294;0.0000;0.0000;-0.1300	6.540e-01;4.222e-08;4.222e-08;6.526e-01	3.804e-02;9.998e-01;9.998e-01;3.810e-02	0.0305;0.0021;0.0021;0.9654	0.1762;0.0021;0.0021;0.8192	s|1e1.1o1|2e2.1o1|3e3.2o3|i	4	4	0;0;0;0	chr8	-	56069833-56073117;56069380-56072668;56068344-56070543;56069834-56070542	56067611-56068530;56068811-56069380;56069593-56069833;56070543-56073272	56069834-56070542	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A56073272-56067611
SCMH1	ENSG00000010803.16	ENSG00000010803.16:t:41028584-41028745	-0.0001;-0.1220;0.1285	4.873e-09;6.158e-01;6.427e-01	9.966e-01;4.509e-02;3.873e-02	0.0191;0.4486;0.5305	0.0123;0.3073;0.6802	t|1e2.1o1|2e1.1o1|2e2.1o1	3	3	1;0;0	chr1	-	41028745-41033983;41028726-41037362;41028726-41033983	41028584-41028745;41033983-41034102;41037362-41037541		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A41037541-41028584
APBA3	ENSG00000011132.12	ENSG00000011132.12:t:3752820-3752990	-0.1053;0.1053	5.067e-01;5.067e-01	7.122e-02;7.122e-02	0.1439;0.8561	0.0052;0.9948	t|1e1.1o1|1e2.1o1	2	3	1;0	chr19	-	3752990-3754019;3752990-3753765	3752820-3752990;3753765-3753926;3754019-3754141		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A3754141-3752820
DPF1	ENSG00000011332.21	ENSG00000011332.21:s:38213644-38213979	-0.1954;0.2404;-0.0234	9.628e-01;9.715e-01;8.462e-03	1.600e-03;1.267e-03;5.568e-01	0.2285;0.6991;0.0651	0.0270;0.9511;0.0179	s|1e1.1o2|1e1.2o2|i	3	2	0;0;1	chr19	-	38212391-38213644;38212361-38213644;38212392-38213643	38212280-38212391;38213644-38213979	38212392-38213643	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A38213979-38212280
DPF1	ENSG00000011332.21	ENSG00000011332.21:t:38216140-38216259	-0.0000;-0.0965;0.1075	7.206e-21;4.786e-01;5.663e-01	9.999e-01;8.255e-02;5.585e-02	0.0109;0.1524;0.8339	0.0019;0.0510;0.9470	t|1e1.2o2|1e2.1o1|1e3.1o1	3	4	1;0;0	chr19	-	38216259-38217798;38216259-38217460;38216259-38216353	38216140-38216259;38216353-38216510;38217391-38217652;38217798-38217876		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A38217876-38216140
XYLT2	ENSG00000015532.10	ENSG00000015532.10:s:50356511-50356773	0.1032;0.0000;-0.1142	5.006e-01;8.486e-08;5.739e-01	7.359e-02;9.990e-01;5.303e-02	0.8244;0.0030;0.1729	0.9425;0.0102;0.0469	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr17	+	50356773-50357057;50356773-50357118;50356773-50358207	50356511-50356773;50357057-50358066;50358207-50358540		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50358540-50356511
XYLT2	ENSG00000015532.10	ENSG00000015532.10:t:50358207-50358540	-0.1051;0.1051	5.142e-01;5.142e-01	6.984e-02;6.984e-02	0.1863;0.8137	0.0577;0.9423	t|1e1.1o1|1e2.1o1	2	3	0;0	chr17	+	50356773-50358207;50357252-50358207	50356511-50356773;50357057-50358066;50358207-50358540		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50358540-50356511
