gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,noDox_mean_psi,dox00187_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
DDX11,ENSG00000013573.17,ENSG00000013573.17:t:31078390-31078537,-0.1103;0.2513;-0.0429;-0.0507;-0.0001;-0.0148,5.902e-01;9.819e-01;1.274e-01;1.308e-01;1.454e-03;2.868e-03,4.877e-02;3.062e-04;3.048e-01;3.021e-01;7.106e-01;6.495e-01,0.1602;0.5647;0.1003;0.0906;0.0449;0.0617,0.0400;0.8182;0.0390;0.0287;0.0428;0.0190,t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|2e1.1o2|2e1.2o2,6,4,0;0;0;0;0;0,chr12,+,31073969-31078390;31074091-31078390;31074327-31078390;31078288-31078390;31073969-31078463;31074091-31078463,31073860-31074091;31074220-31074327;31077945-31078288;31078390-31078537,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A31078537-31073860
DDX11,ENSG00000013573.17,ENSG00000013573.17:t:31089886-31090094,0.0842;-0.1546;0.0464,4.055e-01;7.519e-01;1.921e-01,1.056e-01;1.949e-02;2.387e-01,0.0280;0.8829;0.0851,0.1328;0.7087;0.1623,t|1e1.1o1|1e2.1o1|2e2.1o1,3,3,0;0;0,chr12,+,31089151-31089886;31089490-31089886;31089490-31089891,31089044-31089151;31089403-31089681;31089886-31090094,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A31090094-31089044
PRDM11,ENSG00000019485.14,ENSG00000019485.14:s:45219570-45219757,0.1465;-0.1465,6.090e-01;6.090e-01,3.029e-02;3.029e-02,0.5464;0.4536,0.7496;0.2504,s|1e1.1o1|1e2.1o1,2,3,0;0,chr11,+,45219757-45224217;45219757-45225995,45219570-45219757;45224217-45225087;45225995-45235110,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A45235110-45219570
PRDM11,ENSG00000019485.14,ENSG00000019485.14:t:45181761-45181885,-0.0000;0.0485;-0.0109;-0.1576;0.1356,5.467e-05;2.359e-01;2.272e-02;6.189e-01;6.285e-01,9.922e-01;1.924e-01;6.426e-01;2.604e-02;3.506e-02,0.0043;0.0944;0.0432;0.7881;0.0706,0.0036;0.1686;0.0036;0.5595;0.2591,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e4.1o1,5,5,0;0;0;1;1,chr11,+,45095901-45181761;45146877-45181761;45147581-45181761;45181167-45181761;45181167-45181766,na-45181167;45095806-45095901;45146639-45146877;45147343-45147581;45181761-45181885,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A45181885-45095806
AKAP11,ENSG00000023516.9,ENSG00000023516.9:s:42272152-42272228,-0.1169;0.1169,5.902e-01;5.902e-01,4.785e-02;4.785e-02,0.8049;0.1951,0.6540;0.3460,s|1e1.1o1|1e2.1o1,2,3,0;1,chr13,+,42272228-42285986;42272228-42286300,42272152-42272228;42285986-42286035;42286300-42286399,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A42286399-42272152
HSF2,ENSG00000025156.13,ENSG00000025156.13:t:122431430-122431514,0.1024;-0.0649;-0.0027,5.300e-01;2.998e-01;7.360e-06,6.539e-02;1.583e-01;9.012e-01,0.6259;0.3390;0.0353,0.7482;0.2507;0.0011,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chr6,+,122423686-122431430;122427956-122431430;122430148-122431430,122423581-122423686;122427903-122427956;122429993-122430148;122431430-122431514,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A122431514-122423581
RTEL1-TNFRSF6B,ENSG00000026036.22,ENSG00000026036.22:s:63673940-63674093,0.0162;0.0047;-0.1139;0.0241;0.0000,3.497e-02;1.423e-03;5.923e-01;3.466e-02;1.602e-09,5.231e-01;8.248e-01;5.002e-02;4.989e-01;1.000e+00,0.0459;0.0014;0.9494;0.0014;0.0014,0.0804;0.0351;0.8152;0.0626;0.0014,s|1e2.1o2|2e1.1o1|2e2.1o2|2e2.2o2|i,5,3,1;1;0;1;1,chr20,+,63674051-63678145;63674093-63675272;63674093-63678145;63674093-63678214;63674094-63675271,63673940-63674093;63675272-63675435;63678145-63678346,63674094-63675271,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A63678346-63673940
RTEL1-TNFRSF6B,ENSG00000026036.22,ENSG00000026036.22:s:63685791-63685872,0.1160;-0.0456;-0.0414,5.698e-01;2.350e-01;2.081e-01,5.064e-02;1.835e-01;2.158e-01,0.1064;0.5381;0.3656,0.2422;0.4609;0.2985,s|1e1.1o2|1e1.2o2|i,3,2,1;0;1,chr20,+,63685872-63686004;63685872-63687638;63685873-63686003,63685791-63685872;63686004-63687770,63685873-63686003,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A63687770-63685791
KCNG1,ENSG00000026559.14,ENSG00000026559.14:t:51009565-51010364,-0.1213;-0.0002;0.1058,5.820e-01;9.562e-02;4.649e-01,4.554e-02;3.672e-01;6.118e-02,0.2690;0.1789;0.5563,0.1168;0.1899;0.6888,t|1e1.1o2|1e2.1o1|1e3.1o1,3,4,0;1;0,chr20,-,51010364-51022870;51010364-51013729;51010364-51012359,51009565-51010364;51012359-51012416;51013729-51014108;51022654-51023107,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A51023107-51009565
BTN3A1,ENSG00000026950.17,ENSG00000026950.17:s:26409533-26409733,0.1117;-0.1117,5.979e-01;5.979e-01,4.569e-02;4.569e-02,0.8483;0.1517,0.9722;0.0278,s|1e1.1o1|1e2.1o1,2,3,0;1,chr6,+,26409733-26409894;26409733-26410006,26409533-26409733;26409894-26409914;26410006-26410032,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A26410032-26409533
BTN3A1,ENSG00000026950.17,ENSG00000026950.17:t:26410006-26410032,-0.1388;0.1388,7.507e-01;7.507e-01,2.060e-02;2.060e-02,0.1840;0.8160,0.0343;0.9657,t|1e1.1o1|1e2.1o1,2,3,1;0,chr6,+,26409733-26410006;26409914-26410006,26409533-26409733;26409894-26409914;26410006-26410032,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A26410032-26409533
INSRR,ENSG00000027644.5,ENSG00000027644.5:s:156843004-156843233,0.1963;-0.0167;-0.1541,8.731e-01;2.133e-02;7.348e-01,6.562e-03;5.656e-01;2.104e-02,0.2669;0.0655;0.6744,0.4797;0.0303;0.4869,s|1e1.1o1|1e2.1o1|i,3,3,0;1;1,chr1,-,156842508-156843004;156842271-156843004;156842509-156843003,156842112-156842271;156842398-156842508;156843004-156843233,156842509-156843003,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A156843233-156842112
ARNTL2,ENSG00000029153.14,ENSG00000029153.14:s:27368262-27368412,0.0680;0.0000;-0.0018;-0.1240;0.0258,3.099e-01;6.872e-08;9.487e-04;6.272e-01;5.206e-02,1.523e-01;9.998e-01;8.580e-01;4.081e-02;4.621e-01,0.0477;0.0016;0.0265;0.9173;0.0016,0.1405;0.0019;0.0190;0.7758;0.0651,s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o2|1e3.2o2,5,4,0;0;0;0;1,chr12,+,27368412-27370129;27368412-27370168;27368412-27376346;27368412-27380247;27368412-27380249,27368262-27368412;27370129-27370230;27376346-27376416;27380247-27380404,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A27380404-27368262
TFB1M,ENSG00000029639.11,ENSG00000029639.11:t:155260273-155260568,-0.0000;-0.0000;-0.1493;0.1658;-0.0030,6.512e-21;6.512e-21;8.536e-01;9.385e-01;1.640e-06,1.000e+00;1.000e+00;5.003e-03;3.148e-04;8.773e-01,0.0120;0.0071;0.8417;0.1053;0.0356,0.0027;0.0110;0.6823;0.2774;0.0260,t|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1|i,5,3,0;1;0;1;1,chr6,-,155260568-155285158;155260568-155265825;155260400-155285158;155260400-155265825;155260569-155260822,155260273-155260568;155265825-na;155285158-155285277,155260569-155260822,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A155285277-155260273
FUT8,ENSG00000033170.17,ENSG00000033170.17:t:65455621-65455718,0.0312;0.0415;-0.1062;0.0003,2.091e-01;2.305e-01;5.296e-01;2.615e-05,2.123e-01;1.897e-01;6.286e-02;9.825e-01,0.2376;0.6157;0.1679;0.0037,0.2701;0.6703;0.0406;0.0110,t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1,4,5,0;0;0;1,chr14,+,65411993-65455621;65413214-65455621;65430309-65455621;65433131-65455621,na-65433131;65410592-65411993;65412730-65413214;65430216-65430309;65455621-65455718,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A65455718-65410592
SLC4A7,ENSG00000033867.16,ENSG00000033867.16:s:27484067-27484420,-0.1048;0.1955;-0.0692,5.417e-01;8.975e-01;3.235e-01,5.705e-02;4.275e-03;1.433e-01,0.1346;0.6661;0.2179,0.0193;0.8475;0.1281,s|1e1.1o1|1e2.1o1|2e2.1o1,3,3,1;0;0,chr3,-,27483627-27484079;27452498-27484079;27452498-27484067,27452417-27452498;27483519-27483627;27484067-27484420,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A27484420-27452417
SLC4A7,ENSG00000033867.16,ENSG00000033867.16:t:27452417-27452498,0.1186;-0.0868;-0.0276;0.0002,5.899e-01;4.155e-01;4.957e-02;6.269e-07,4.790e-02;1.005e-01;4.542e-01;9.936e-01,0.6833;0.2282;0.0809;0.0013,0.8193;0.1247;0.0384;0.0110,t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1,4,4,0;0;1;0,chr3,-,27452498-27484079;27452498-27484067;27452498-27483519;27452498-27456651,27452417-27452498;27456651-27456754;27483519-27483627;27484067-27484420,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A27484420-27452417
